bin	marker_lineage	genomes	markers	marker_sets	completeness	contamination	strain_heterogeneity	genome_size	ambiguous_bases	scaffolds	contigs	N50_scaffolds	N50_contigs	mean_scaffold_length	mean_contig_length	longest_scaffold	longest_contig	gc	gc_std_scaffolds	coding_density	translation_table	predicted_genes	0	1	2	3	4	5+
SPAdes-MaxBin2-S7.091	c__Gammaproteobacteria (UID4266)	1097	270	172	92.32	33.03	2.35	5617571	2169	894	981	14679	13718	6283	5724	111281	75077	36.7	1.65	88.17	11	5843	46	163	52	7	2	0
SPAdes-MaxBin2-S7.094	k__Bacteria (UID203)	5449	103	57	79.82	35.09	14.29	3508459	5388	721	859	16197	14684	4866	4078	213333	156673	60.0	2.89	89.79	11	3762	50	32	21	0	0	0
SPAdes-MaxBin2-S7.095	c__Gammaproteobacteria (UID4266)	1097	270	172	87.73	5.81	7.69	1924163	669	283	324	19852	17117	6799	5936	70165	70165	41.0	2.72	89.74	11	1937	44	213	13	0	0	0
SPAdes-MaxBin2-S7.096	k__Bacteria (UID203)	5449	104	58	75.91	51.05	1.92	6056908	3519	2495	2747	2741	2589	2427	2203	56620	46829	57.0	1.77	89.10	11	7296	32	38	25	9	0	0
SPAdes-MaxBin2-S7.100	k__Bacteria (UID3187)	2258	187	116	68.90	51.15	14.00	4111542	2441	1984	2136	2150	2044	2072	1923	37948	37948	58.9	1.80	90.41	11	5297	84	54	31	13	5	0
SPAdes-MaxBin2-S7.101	k__Bacteria (UID203)	5449	104	58	42.74	44.83	9.52	4096938	1738	1776	1922	2431	2339	2306	2130	51865	51865	63.1	1.53	90.94	11	4865	72	16	8	6	1	1
SPAdes-MaxBin2-S7.102	k__Archaea (UID2)	207	148	106	86.01	42.67	2.63	2459200	520	522	569	12687	10716	4711	4321	56253	56253	42.1	1.28	89.80	11	2932	16	72	52	8	0	0
SPAdes-MaxBin2-S7.103	k__Archaea (UID2)	207	148	106	82.52	24.37	2.94	2301768	1034	562	623	7996	7277	4095	3692	39914	27380	39.6	1.63	86.61	11	2897	30	88	28	2	0	0
SPAdes-MaxBin2-S7.104	k__Bacteria (UID1453)	901	171	117	80.88	17.40	8.51	4756881	3175	1823	2012	3170	2974	2609	2362	28522	28522	61.2	2.09	88.70	11	6063	29	114	23	2	3	0
SPAdes-MaxBin2-S7.105	k__Bacteria (UID203)	5449	104	58	89.66	31.52	8.62	1594556	1351	509	576	6067	5324	3132	2765	39194	37536	40.9	2.25	87.99	11	1918	6	47	23	11	13	4
SPAdes-MaxBin2-S7.108	k__Bacteria (UID203)	5449	103	57	40.91	8.77	0.00	2679509	1894	873	971	3741	3376	3069	2757	101496	101496	53.4	1.84	89.45	11	3288	68	30	5	0	0	0
SPAdes-MaxBin2-S7.109	k__Bacteria (UID203)	5449	103	57	56.22	27.65	4.88	5011753	4062	2485	2768	2056	1942	2016	1809	56208	42135	60.1	1.69	84.17	11	6658	33	44	20	5	1	0
SPAdes-MaxBin2-S7.111	k__Archaea (UID2)	207	148	106	91.19	28.11	5.36	1894709	701	639	705	3867	3577	2965	2686	15451	15451	47.9	1.98	90.72	11	2418	13	89	41	5	0	0
SPAdes-MaxBin2-S7.114	k__Bacteria (UID203)	5449	104	58	61.06	38.85	19.44	3171917	2064	1700	1879	1916	1812	1865	1686	8910	8434	74.2	1.33	91.69	11	4294	56	24	18	6	0	0
SPAdes-MaxBin2Refined-S1.007_sub	k__Bacteria (UID3187)	2258	181	110	76.38	8.18	9.09	4949198	1422	586	614	20518	19937	8445	8058	290748	192033	50.8	6.65	87.80	11	5675	36	136	8	1	0	0
SPAdes-MaxBin2Refined-S1.010_sub	o__Rhodospirillales (UID3754)	63	336	201	94.35	1.21	25.00	3804926	2837	400	530	16992	11706	9512	7173	63540	60676	62.9	4.35	90.50	11	3897	27	301	8	0	0	0
SPAdes-MaxBin2Refined-S1.015_sub	k__Bacteria (UID3187)	2258	187	116	92.82	4.31	0.00	3352274	1919	139	172	62339	61696	24117	19478	186795	150121	61.6	1.37	87.29	11	2849	38	144	5	0	0	0
SPAdes-MaxBin2Refined-S15.004_sub	k__Bacteria (UID3187)	2258	188	117	48.04	0.00	0.00	1536348	20	133	135	46312	46312	11551	11380	156422	156422	56.2	5.61	88.61	11	1436	92	96	0	0	0	0
SPAdes-MaxBin2Refined-S15.019_sub	o__Rhodospirillales (UID3754)	63	336	201	91.58	1.74	75.00	4000234	11740	410	531	18424	12950	9756	7511	76082	72999	71.0	2.72	89.16	11	4028	27	305	4	0	0	0
SPAdes-MaxBin2Refined-S15.033_sub	o__Rhizobiales (UID3654)	92	481	319	96.71	2.74	23.08	3360968	7272	200	276	49709	28699	16804	12151	174381	151642	59.8	1.83	84.35	11	3258	13	455	13	0	0	0
SPAdes-MaxBin2Refined-S15.037_sub	k__Bacteria (UID3187)	2258	187	116	82.09	3.28	22.22	3931237	1502	437	467	22263	20306	8995	8414	104438	104438	58.3	1.66	89.60	11	3705	39	139	9	0	0	0
SPAdes-MaxBin2Refined-S15.043_sub	k__Bacteria (UID3187)	2258	181	110	90.02	1.82	0.00	2677136	641	125	134	48268	46941	21417	19973	240776	204536	52.7	2.38	88.17	11	2722	43	136	2	0	0	0
SPAdes-MaxBin2Refined-S15.065_sub	o__Sphingomonadales (UID3310)	26	569	293	67.42	25.18	1.29	3847153	3422	2392	2689	1573	1489	1608	1429	7739	6760	65.6	2.09	89.92	11	5638	177	272	104	15	1	0
SPAdes-MaxBin2Refined-S17.001	p__Firmicutes (UID239)	1324	173	101	89.11	0.99	0.00	1645291	1900	49	68	117137	62513	33577	24167	585447	585447	64.2	6.02	90.94	11	1670	13	159	1	0	0	0
SPAdes-MaxBin2Refined-S17.004_sub	k__Bacteria (UID1453)	901	171	117	99.15	2.48	0.00	2693905	1085	160	185	35758	32904	16836	14555	93920	93920	49.5	4.48	85.13	11	2620	1	161	9	0	0	0
SPAdes-MaxBin2Refined-S17.005	f__Xanthomonadaceae (UID4214)	55	659	290	98.55	3.87	0.00	2990120	600	86	92	154338	117705	34768	32494	336871	332252	67.9	6.71	90.17	11	2732	6	629	24	0	0	0
SPAdes-MaxBin2Refined-S17.006_sub	k__Bacteria (UID3187)	2258	188	117	69.58	0.00	0.00	2876921	7440	700	778	5909	4795	4109	3688	52000	52000	55.8	3.43	88.67	11	2822	53	135	0	0	0	0
SPAdes-MaxBin2Refined-S17.014_sub	c__Gammaproteobacteria (UID4202)	67	481	276	84.56	5.55	17.86	3877635	2330	637	663	12608	12076	6087	5845	73433	73433	67.5	2.83	90.36	11	3859	89	364	28	0	0	0
SPAdes-MaxBin2Refined-S17.020	k__Bacteria (UID1452)	924	151	101	97.93	2.97	0.00	4008149	18210	336	519	20291	11961	11929	7687	88029	58014	66.1	1.53	81.41	11	3433	3	145	3	0	0	0
SPAdes-MaxBin2Refined-S17.038_sub	p__Proteobacteria (UID3214)	2231	190	119	86.02	34.00	39.68	5124054	942	336	347	42845	40893	15250	14764	173143	173143	68.4	1.40	90.44	11	4750	30	105	51	4	0	0
SPAdes-MaxBin2Refined-S17.039_sub	k__Bacteria (UID1453)	901	171	117	96.58	2.99	0.00	4174072	3140	184	219	62942	57654	22685	19045	213691	204294	71.8	1.54	89.87	11	4144	13	154	4	0	0	0
SPAdes-MaxBin2Refined-S17.060_sub	p__Euryarchaeota (UID3)	148	188	125	99.01	0.80	0.00	2543474	120	179	182	83942	83942	14209	13974	266334	266334	50.6	2.21	87.24	11	2602	3	184	1	0	0	0
SPAdes-MaxBin2Refined-S17.067_sub	k__Bacteria (UID1452)	924	151	101	95.15	10.21	9.52	6034864	8025	1000	1118	13274	11274	6034	5390	77538	77538	62.2	1.54	87.94	11	6667	7	127	15	2	0	0
SPAdes-MaxBin2Refined-S17.079_sub	o__Rhodospirillales (UID3754)	63	336	201	98.34	9.70	3.70	4366299	573	400	422	40187	39465	10915	10345	129726	124841	71.0	1.98	91.16	11	4409	5	306	24	1	0	0
SPAdes-MaxBin2Refined-S17.092	k__Bacteria (UID1453)	901	171	117	96.50	0.43	0.00	1967277	1150	92	108	41768	37714	21383	18204	130738	130738	71.6	1.58	93.05	11	2014	5	165	1	0	0	0
SPAdes-MaxBin2Refined-S17.096_sub	k__Bacteria (UID1453)	901	171	117	78.52	3.51	14.29	2949368	2953	1160	1394	2918	2598	2542	2113	51882	51882	46.4	1.99	86.32	11	3717	32	132	7	0	0	0
SPAdes-MaxBin2Refined-S17.099_sub	k__Bacteria (UID2565)	2921	143	88	90.91	8.60	38.46	6416453	16166	1176	1378	9243	7200	5456	4644	56118	56118	59.5	1.66	87.30	11	6213	9	123	10	1	0	0
SPAdes-MaxBin2Refined-S17.101	k__Bacteria (UID1452)	924	151	101	92.34	6.14	62.50	4685036	4106	1260	1443	5000	4535	3718	3243	25516	19081	66.2	2.03	85.82	11	4986	16	127	8	0	0	0
SPAdes-MaxBin2Refined-S17.119_sub	k__Bacteria (UID1452)	924	151	101	58.42	2.97	0.00	1256474	590	257	283	16534	13831	4889	4437	84740	63180	48.4	1.78	87.63	11	1546	46	101	4	0	0	0
SPAdes-MaxBin2Refined-S17.133_sub	k__Bacteria (UID2565)	2921	141	86	76.33	7.37	37.50	6383128	3786	2194	2437	3759	3557	2909	2617	39816	26905	71.1	1.91	87.51	11	6812	47	86	8	0	0	0
SPAdes-MaxBin2Refined-S17.135_sub	k__Bacteria (UID2565)	2921	143	88	65.53	7.21	6.25	6065793	5098	2489	2797	2850	2613	2437	2166	15723	15723	61.5	1.78	89.05	11	6947	47	82	13	1	0	0
SPAdes-MaxBin2Refined-S17.158	k__Bacteria (UID3060)	138	338	246	51.43	3.09	20.00	1310530	1173	520	610	2987	2724	2520	2146	14500	14500	38.8	2.37	85.09	11	1645	145	183	10	0	0	0
SPAdes-MaxBin2Refined-S2.001	p__Firmicutes (UID239)	1324	173	101	90.43	0.99	0.00	1638113	1710	51	69	120312	75473	32119	23715	379244	293452	64.2	4.51	91.10	11	1673	11	161	1	0	0	0
SPAdes-MaxBin2Refined-S2.009	p__Euryarchaeota (UID3)	148	187	124	99.55	0.93	0.00	2196251	1256	176	200	67737	59465	12478	10974	142863	142863	46.1	9.37	88.57	11	2460	2	181	4	0	0	0
SPAdes-MaxBin2Refined-S2.018_sub	k__Bacteria (UID1453)	901	171	117	99.15	2.33	0.00	3276884	6020	152	214	62207	32721	21558	15284	194306	188609	70.1	1.69	91.62	11	3202	1	165	5	0	0	0
SPAdes-MaxBin2Refined-S2.048_sub	k__Bacteria (UID3187)	2258	188	117	79.70	12.73	47.37	3969831	5976	655	748	12407	10371	6060	5299	79518	41004	56.4	1.30	88.69	11	4018	45	126	16	1	0	0
SPAdes-MaxBin2Refined-S2.075_sub	p__Actinobacteria (UID1454)	732	199	116	94.60	5.89	0.00	2431346	7450	270	362	18613	12283	9004	6695	59090	59090	71.8	1.75	92.01	11	2647	10	179	10	0	0	0
SPAdes-MaxBin2Refined-S2.081_sub	o__Rhodospirillales (UID3754)	63	336	201	41.57	6.09	7.69	2292835	5829	1076	1363	2277	1950	2130	1677	29091	22009	69.1	1.87	87.49	11	3152	204	119	13	0	0	0
SPAdes-MaxBin2Refined-S2.086_sub	k__Bacteria (UID1452)	924	151	101	78.11	9.52	0.00	5416654	16854	2021	2942	3282	2432	2680	1835	16464	13138	57.6	2.28	85.77	11	6242	33	108	9	1	0	0
SPAdes-MaxBin2Refined-S2.097_sub	k__Bacteria (UID1453)	901	171	117	47.02	7.86	7.69	4902167	10678	1908	2476	3041	2478	2569	1975	40515	40515	62.4	1.48	86.86	11	6741	86	74	10	1	0	0
SPAdes-MaxBin2Refined-S3.001	p__Firmicutes (UID239)	1324	173	101	89.44	0.99	0.00	1661359	1900	42	61	196047	62891	39556	27204	453284	335693	64.2	4.04	91.27	11	1704	12	160	1	0	0	0
SPAdes-MaxBin2Refined-S3.004_sub	k__Bacteria (UID1453)	901	171	117	65.65	1.20	0.00	1637252	9742	679	1158	2904	1814	2411	1405	15656	15656	49.4	2.73	83.30	11	2205	57	111	3	0	0	0
SPAdes-MaxBin2Refined-S3.005	f__Xanthomonadaceae (UID4214)	55	659	290	97.52	2.34	0.00	2928315	500	54	59	224431	167237	54228	49623	759816	759816	68.0	3.76	90.27	11	2680	14	625	20	0	0	0
SPAdes-MaxBin2Refined-S3.007_sub	o__Actinomycetales (UID1590)	562	286	170	91.39	3.29	37.50	3041628	22775	295	551	18785	8666	10310	5478	76233	32803	75.6	7.57	88.69	11	2965	27	251	8	0	0	0
SPAdes-MaxBin2Refined-S3.019_sub	k__Bacteria (UID1453)	901	171	117	98.72	2.99	0.00	3254090	6557	162	233	51150	30640	20086	13937	144212	105750	70.2	1.77	91.49	11	3150	2	165	4	0	0	0
SPAdes-MaxBin2Refined-S3.024_sub	p__Euryarchaeota (UID3)	148	187	124	86.92	0.00	0.00	2045506	9476	345	451	11812	7065	5929	4514	44144	38936	44.8	2.99	85.59	11	2409	21	166	0	0	0	0
SPAdes-MaxBin2Refined-S3.026	k__Bacteria (UID3060)	138	338	246	57.52	1.22	0.00	906246	800	25	33	85648	85648	36249	27437	123570	114508	33.3	2.51	89.85	11	924	121	214	3	0	0	0
SPAdes-MaxBin2Refined-S3.059_sub	k__Bacteria (UID1452)	924	151	101	94.97	3.24	50.00	4525606	3028	310	357	44372	41217	14598	12668	461762	461762	65.5	1.78	85.68	11	4073	7	138	6	0	0	0
SPAdes-MaxBin2Refined-S3.060_sub	k__Bacteria (UID1452)	924	151	101	92.34	8.51	0.00	5869481	8675	982	1217	12498	9803	5977	4815	133270	133270	62.3	1.64	87.91	11	6578	12	128	11	0	0	0
SPAdes-MaxBin2Refined-S3.074_sub	k__Bacteria (UID1452)	924	151	101	96.67	11.00	13.33	5591985	4315	571	713	43584	36019	9793	7836	289066	289066	64.9	1.75	85.99	11	5493	5	137	6	3	0	0
SPAdes-MaxBin2Refined-S3.100_sub	k__Bacteria (UID1453)	901	171	117	87.46	10.21	37.50	2705232	9382	916	1097	3959	3291	2953	2457	21309	15327	71.0	1.77	91.10	11	3342	29	128	13	1	0	0
SPAdes-MaxBin2Refined-S3.104_sub	o__Actinomycetales (UID1593)	69	400	198	80.12	6.36	3.03	4460211	17492	1454	2219	4475	3099	3067	2002	66148	28797	63.8	1.32	86.07	11	5556	87	286	24	3	0	0
SPAdes-MaxBin2Refined-S3.105_sub	k__Bacteria (UID203)	5449	103	58	74.84	21.30	2.63	4704883	33948	2174	3382	2383	1774	2164	1381	45517	45517	49.3	2.69	82.22	11	6767	17	61	20	4	1	0
SPAdes-MaxBin2Refined-S3.122_sub	k__Bacteria (UID1452)	924	151	101	56.53	20.34	9.09	4891155	41313	2900	4448	1692	1318	1686	1090	12215	10422	65.3	1.54	83.90	11	7120	59	69	18	5	0	0
SPAdes-MaxBin2Refined-S7.009	k__Bacteria (UID3187)	2258	181	110	84.49	20.82	0.00	2529518	463	306	333	86279	86279	8266	7594	310686	222789	54.2	3.97	89.09	11	2657	21	131	27	2	0	0
SPAdes-MaxBin2Refined-S7.024	k__Bacteria (UID1453)	901	171	117	97.15	1.28	0.00	2711893	750	134	146	73322	69788	20238	18569	242392	239984	69.1	2.46	90.67	11	2649	4	165	2	0	0	0
SPAdes-MaxBin2Refined-S7.025	c__Alphaproteobacteria (UID3305)	564	349	230	99.57	4.00	7.69	4951092	1238	357	371	24772	24286	13868	13341	81665	75307	69.2	1.80	90.11	11	4923	1	335	13	0	0	0
SPAdes-MaxBin2Refined-S7.027	k__Bacteria (UID3187)	2258	187	116	98.17	2.59	33.33	2558016	600	201	207	42871	42871	12726	12354	184485	184485	59.1	1.90	89.70	11	2351	4	180	3	0	0	0
SPAdes-MaxBin2Refined-S7.029	c__Betaproteobacteria (UID3959)	235	419	211	95.70	1.57	0.00	3471240	746	202	213	119511	119511	17184	16293	401057	285553	52.8	2.13	89.28	11	3543	12	397	10	0	0	0
SPAdes-MaxBin2Refined-S7.039_sub	c__Gammaproteobacteria (UID4202)	67	481	276	90.64	28.57	32.17	3969155	1930	573	603	18837	17574	6926	6579	127349	127029	68.7	1.91	90.50	11	3948	47	316	113	3	1	1
SPAdes-MaxBin2Refined-S7.041	c__Betaproteobacteria (UID3959)	235	419	211	89.55	2.31	33.33	2449484	1223	472	539	7166	6645	5189	4542	28163	27900	54.3	2.62	90.56	11	2759	46	366	6	1	0	0
SPAdes-MaxBin2Refined-S7.052_sub	o__Rhizobiales (UID3654)	92	481	319	91.88	4.06	54.55	2907788	4061	308	353	18169	14618	9440	8225	60996	45924	59.7	1.44	84.16	11	2888	36	416	27	2	0	0
SPAdes-MaxBin2Refined-S7.059_sub	k__Bacteria (UID203)	5449	104	58	94.83	12.30	22.58	3289115	2089	845	932	5857	5208	3892	3526	27836	27836	48.3	1.74	86.97	11	3658	3	82	13	6	0	0
SPAdes-MaxBin2Refined-S7.065_sub	k__Bacteria (UID3187)	2258	187	116	61.63	9.17	23.53	3848286	673	579	591	23770	23770	6646	6510	238990	238990	58.1	1.29	87.53	11	3727	72	98	17	0	0	0
SPAdes-MaxBin2Refined-S7.068_sub	o__Rhizobiales (UID3654)	92	481	319	75.23	5.01	75.00	2873710	3020	943	975	3820	3568	3047	2944	21729	21729	60.4	1.79	85.26	11	3383	132	327	21	1	0	0
SPAdes-MaxBin2Refined-S7.071_sub	k__Bacteria (UID3187)	2258	181	110	83.83	7.27	0.00	2591556	929	297	310	37830	37830	8725	8356	128902	128902	54.5	2.28	88.55	11	2763	43	130	8	0	0	0
SPAdes-MaxBin2Refined-S7.072_sub	k__Bacteria (UID203)	5449	104	58	66.63	27.40	30.16	5991204	2804	918	977	17111	15209	6526	6129	145938	145938	62.2	1.54	88.10	11	5992	30	52	12	6	3	1
SPAdes-MaxBin2Refined-S7.077_sub	k__Bacteria (UID1453)	901	171	117	86.09	27.00	42.00	3807485	2952	774	812	8479	8061	4919	4685	63709	63709	65.9	1.91	89.67	11	4155	30	109	26	4	2	0
SPAdes-MaxBin2Refined-S7.078_sub	k__Bacteria (UID3187)	2258	187	116	88.80	59.60	6.03	4779377	2309	904	963	9014	8182	5286	4960	57188	57188	59.4	1.24	89.89	11	4693	22	89	62	10	4	0
SPAdes-MaxBin2Refined-S7.081	k__Bacteria (UID3187)	2258	181	110	63.85	2.73	0.00	1697837	1097	214	237	21163	20770	7933	7159	89771	89771	55.9	0.98	88.57	11	1782	52	125	4	0	0	0
SPAdes-MaxBin2Refined-S7.104_sub	k__Bacteria (UID1453)	901	171	117	80.88	17.40	8.51	4737858	3175	1815	2004	3184	2986	2610	2362	28522	28522	61.2	2.09	88.68	11	6024	29	114	23	2	3	0
SPAdes-MaxBin2Refined-S7.107_sub	k__Bacteria (UID2495)	2993	143	89	51.86	1.49	0.00	1236617	670	573	624	2303	2189	2158	1980	27537	27537	29.5	3.40	83.79	11	1612	55	82	6	0	0	0
SPAdes-MaxBin2Refined-S7.110_sub	c__Gammaproteobacteria (UID4267)	119	544	284	70.27	32.65	0.56	3299464	2803	1757	1987	1981	1856	1877	1659	9630	9630	64.4	1.68	89.11	11	4429	175	241	108	16	4	0
SPAdes-MetaBAT2-S1.1	root (UID1)	5656	56	24	0.00	0.00	0.00	208788	100	14	15	24163	24163	14913	13912	80784	80784	56.9	0.98	84.62	11	221	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.12	k__Bacteria (UID203)	5449	103	57	55.20	0.00	0.00	1251440	2253	161	184	11675	10590	7772	6789	35599	35599	59.8	2.45	91.93	11	1392	60	43	0	0	0	0
SPAdes-MetaBAT2-S1.14	root (UID1)	5656	56	24	0.00	0.00	0.00	322250	0	35	35	13045	13045	9207	9207	30962	30962	54.8	1.79	86.73	11	389	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.16	k__Bacteria (UID3187)	2258	187	116	94.44	0.86	0.00	3443823	1600	87	103	62248	54932	39584	33419	186795	150121	61.4	1.60	87.42	11	2860	38	148	1	0	0	0
SPAdes-MetaBAT2-S1.19	c__Betaproteobacteria (UID3959)	235	419	211	97.00	0.71	0.00	2363724	2400	133	157	34660	26380	17772	15040	106906	80786	57.0	1.84	93.50	11	2427	9	408	2	0	0	0
SPAdes-MetaBAT2-S1.2	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	236413	400	5	9	49882	37121	47282	26223	87317	85494	64.9	1.56	88.77	11	228	93	11	0	0	0	0
SPAdes-MetaBAT2-S1.21	p__Proteobacteria (UID3882)	1493	258	161	79.75	1.24	50.00	1550921	707	193	201	11287	11287	8035	7712	59872	55887	57.5	3.17	91.89	11	1679	82	174	2	0	0	0
SPAdes-MetaBAT2-S1.22	root (UID1)	5656	56	24	12.50	0.00	0.00	1161007	195	68	73	35237	35237	17073	15901	107431	87952	53.6	6.31	85.97	11	1280	53	3	0	0	0	0
SPAdes-MetaBAT2-S1.25	root (UID1)	5656	56	24	4.17	0.00	0.00	278410	577	115	157	2407	2143	2420	1769	7064	4755	64.5	2.69	87.45	11	351	55	1	0	0	0	0
SPAdes-MetaBAT2-S1.27	k__Bacteria (UID203)	5449	104	58	5.64	0.00	0.00	624783	2176	235	357	2875	2096	2658	1743	9374	9374	64.9	2.29	88.76	11	817	98	6	0	0	0	0
SPAdes-MetaBAT2-S1.28	root (UID1)	5656	56	24	0.00	0.00	0.00	218240	448	43	67	6716	4701	5075	3250	16700	10376	54.9	2.12	87.32	11	306	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.29	c__Betaproteobacteria (UID3959)	235	419	211	95.62	0.26	16.67	2790730	6200	149	211	33036	22215	18729	13196	131376	131376	54.0	3.18	89.71	11	2799	13	400	6	0	0	0
SPAdes-MetaBAT2-S1.33	o__Rhizobiales (UID3654)	92	481	319	98.08	2.64	0.00	4009271	2930	252	298	49406	35631	15909	13444	203497	172552	59.8	4.32	85.25	11	3929	7	461	13	0	0	0
SPAdes-MetaBAT2-S1.34	c__Betaproteobacteria (UID3959)	235	418	210	98.99	2.75	10.00	3570448	1680	221	303	27988	19701	16155	11778	94292	81410	54.0	2.32	88.48	11	3611	9	401	7	1	0	0
SPAdes-MetaBAT2-S1.37	root (UID1)	5656	56	24	0.00	0.00	0.00	278557	0	22	22	25140	25140	12661	12661	74269	74269	57.6	1.45	88.31	11	221	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.38	root (UID1)	5656	56	24	0.00	0.00	0.00	256367	200	22	24	17198	14472	11653	10673	36503	36503	61.9	2.17	87.20	11	276	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.5	root (UID1)	5656	56	24	0.00	0.00	0.00	307011	100	2	3	290748	161328	153505	102303	290748	161328	32.1	0.35	86.43	11	414	56	0	0	0	0	0
SPAdes-MetaBAT2-S1.9	k__Bacteria (UID203)	5449	103	57	33.33	0.00	0.00	1541971	300	22	25	140009	140009	70089	61666	288947	288947	50.9	1.72	89.31	11	1483	80	23	0	0	0	0
SPAdes-MetaBAT2-S15.1	k__Bacteria (UID203)	5449	104	58	21.72	0.00	0.00	888781	437	251	287	3914	3685	3540	3095	11363	10031	64.6	2.43	89.72	11	1038	84	20	0	0	0	0
SPAdes-MetaBAT2-S15.17	root (UID1)	5656	56	24	0.00	0.00	0.00	283650	0	43	43	8412	8412	6596	6596	32555	32555	63.0	2.14	84.88	11	307	56	0	0	0	0	0
SPAdes-MetaBAT2-S15.18	k__Bacteria (UID203)	5449	104	58	93.65	5.17	57.14	3191198	36910	229	599	25205	7851	13935	5265	122540	95279	75.4	2.35	87.80	11	3059	6	84	14	0	0	0
SPAdes-MetaBAT2-S15.19	k__Bacteria (UID1453)	901	171	117	98.29	1.71	33.33	1990921	400	45	49	111030	96562	44242	40622	442353	442353	63.2	5.61	91.57	11	2003	2	166	3	0	0	0
SPAdes-MetaBAT2-S15.20	o__Actinomycetales (UID1590)	562	286	170	96.18	5.20	18.18	3372238	6600	163	229	39168	26599	20688	14697	210102	210102	71.1	2.11	90.02	11	3382	10	267	8	1	0	0
SPAdes-MetaBAT2-S15.22	o__Actinomycetales (UID1696)	455	311	187	98.66	5.12	6.67	7691711	1121	273	316	48833	41916	28174	24337	146022	112633	70.6	2.09	87.69	11	7400	3	297	9	2	0	0
SPAdes-MetaBAT2-S15.24	k__Bacteria (UID203)	5449	103	57	41.23	0.00	0.00	1836788	210	69	73	46941	39635	26620	25158	240776	204536	53.4	1.70	88.40	11	1824	75	28	0	0	0	0
SPAdes-MetaBAT2-S15.26	k__Bacteria (UID1453)	901	171	117	95.11	2.99	0.00	4142708	5810	202	261	44149	32168	20508	15850	122956	117482	70.0	2.66	90.43	11	4051	16	151	4	0	0	0
SPAdes-MetaBAT2-S15.27	k__Bacteria (UID203)	5449	104	58	80.53	8.96	47.62	6521314	5549	1356	1525	6450	5854	4809	4272	38218	38218	61.6	2.57	88.14	11	6993	14	69	21	0	0	0
SPAdes-MetaBAT2-S15.28	k__Bacteria (UID3187)	2258	181	110	22.75	0.00	0.00	393006	421	12	16	75004	75004	32750	24536	167528	167528	49.1	0.76	89.30	11	405	136	45	0	0	0	0
SPAdes-MetaBAT2-S15.30	k__Bacteria (UID203)	5449	104	58	26.72	0.00	0.00	521354	1913	33	61	22685	13400	15798	8515	81402	30945	60.1	1.77	91.69	11	546	87	17	0	0	0	0
SPAdes-MetaBAT2-S15.32	c__Alphaproteobacteria (UID3422)	26	529	308	37.07	1.00	12.50	1226403	783	527	596	2283	2167	2327	2056	9414	7770	67.0	2.37	89.52	11	1636	322	199	8	0	0	0
SPAdes-MetaBAT2-S15.33	root (UID1)	5656	56	24	0.00	0.00	0.00	916051	110	87	89	25712	22053	10529	10291	80663	80663	68.4	1.51	84.12	11	1010	56	0	0	0	0	0
SPAdes-MetaBAT2-S15.34	root (UID1)	5656	56	24	0.00	0.00	0.00	314267	210	8	11	66505	59770	39283	28550	72602	68061	61.4	0.84	88.57	11	352	56	0	0	0	0	0
SPAdes-MetaBAT2-S15.39	k__Bacteria (UID203)	5449	104	58	21.50	0.00	0.00	952268	10	28	29	62625	62625	34009	32836	122046	122046	57.7	1.38	88.91	11	817	82	22	0	0	0	0
SPAdes-MetaBAT2-S15.40	k__Bacteria (UID203)	5449	104	58	19.59	0.00	0.00	1978056	1747	795	941	2337	2213	2488	2100	55784	55784	69.9	2.56	89.60	11	2514	86	18	0	0	0	0
SPAdes-MetaBAT2-S15.43	k__Bacteria (UID203)	5449	103	58	3.53	0.00	0.00	977972	1281	257	295	4803	4387	3805	3310	38541	38541	56.6	7.25	83.02	11	1238	95	8	0	0	0	0
SPAdes-MetaBAT2-S15.46	p__Firmicutes (UID239)	1324	173	101	92.08	0.83	0.00	3460218	1656	115	148	66020	47439	30088	23368	244418	165825	68.3	6.60	85.62	11	3305	8	163	2	0	0	0
SPAdes-MetaBAT2-S15.47	k__Archaea (UID2)	207	149	107	43.62	33.43	29.52	36695590	13519	2695	3013	20459	18593	13616	12174	224275	180557	48.2	1.91	74.79	4	51836	77	33	27	8	2	2
SPAdes-MetaBAT2-S15.49	k__Bacteria (UID1453)	901	171	117	98.72	1.28	0.00	2703949	1810	149	168	29895	26686	18147	16084	139688	76711	47.7	1.38	81.70	11	2459	2	167	2	0	0	0
SPAdes-MetaBAT2-S15.51	k__Bacteria (UID1453)	901	171	117	99.15	1.28	0.00	2677984	1200	22	34	202174	144859	121726	78728	380160	315668	55.2	1.20	89.52	11	2584	1	168	2	0	0	0
SPAdes-MetaBAT2-S15.55	root (UID1)	5656	56	24	20.83	0.00	0.00	837473	355	36	40	34811	33697	23263	20927	93661	93661	57.7	1.11	91.73	11	721	51	5	0	0	0	0
SPAdes-MetaBAT2-S15.56	o__Actinomycetales (UID1802)	274	388	214	96.38	4.04	30.77	3611718	1540	63	82	110411	87326	57328	44026	190341	155279	69.8	1.57	90.56	11	3582	9	368	10	1	0	0
