chrom	length	bases	mean	min	max
NODE_8281_length_8437_cov_4.597829	8437	42009	4.98	1	19
NODE_8310_length_8402_cov_4.162813	8402	39032	4.65	0	10
NODE_8325_length_8386_cov_3.788981	8386	36144	4.31	1	11
NODE_8382_length_8318_cov_4.252451	8318	39076	4.70	1	15
NODE_8396_length_8304_cov_4.089465	8304	37498	4.52	1	13
NODE_8407_length_8291_cov_4.225109	8291	56185	6.78	0	430
NODE_8409_length_8290_cov_4.756527	8290	43936	5.30	0	18
NODE_8432_length_8263_cov_4.379630	8263	40301	4.88	0	13
NODE_8523_length_8153_cov_3.475179	8153	32559	3.99	0	9
NODE_8563_length_8118_cov_4.509612	8118	46459	5.72	0	39
NODE_8592_length_8081_cov_4.229629	8081	37083	4.59	0	46
NODE_8593_length_8077_cov_5.759910	8077	53121	6.58	1	36
NODE_8629_length_8036_cov_4.632878	8036	41628	5.18	1	12
NODE_8749_length_7909_cov_4.219124	7909	37932	4.80	1	12
NODE_8854_length_7792_cov_3.880574	7792	34097	4.38	0	17
NODE_8933_length_7716_cov_3.919462	7716	35360	4.58	1	17
NODE_8973_length_7670_cov_4.755877	7670	40341	5.26	1	18
NODE_8974_length_7670_cov_4.569534	7670	38648	5.04	0	15
NODE_8981_length_7663_cov_4.226866	7663	37292	4.87	0	24
NODE_9018_length_7625_cov_4.137517	7625	32501	4.26	0	13
NODE_9043_length_7600_cov_4.091849	7600	38996	5.13	0	21
NODE_9129_length_7522_cov_3.768180	7522	36557	4.86	0	35
NODE_9134_length_7517_cov_4.448137	7517	37956	5.05	0	12
NODE_9166_length_7487_cov_5.119752	7487	42341	5.66	1	24
NODE_9179_length_7475_cov_3.134097	7475	31093	4.16	1	14
NODE_9196_length_7459_cov_4.545111	7459	36964	4.96	0	11
NODE_9214_length_7446_cov_5.344608	7446	40120	5.39	1	15
NODE_9324_length_7344_cov_4.016326	7344	35367	4.82	1	14
NODE_9325_length_7343_cov_4.087267	7343	37679	5.13	1	20
NODE_9346_length_7323_cov_4.357045	7323	40497	5.53	0	22
NODE_9352_length_7314_cov_5.070671	7314	41839	5.72	1	19
NODE_9398_length_7283_cov_4.360266	7283	38805	5.33	1	16
NODE_9411_length_7272_cov_4.437301	7272	36277	4.99	1	11
NODE_9486_length_7195_cov_3.989356	7195	36052	5.01	0	19
NODE_9498_length_7181_cov_4.883244	7181	43052	6.00	0	28
NODE_9587_length_7106_cov_4.372713	7106	36787	5.18	0	12
NODE_9606_length_7090_cov_4.037527	7090	35507	5.01	1	25
NODE_9625_length_7074_cov_4.263855	7074	33258	4.70	1	10
NODE_9644_length_7060_cov_4.104925	7060	34436	4.88	0	15
NODE_9666_length_7046_cov_4.154770	7046	33410	4.74	1	11
NODE_9814_length_6921_cov_4.064375	6921	31071	4.49	0	10
NODE_9851_length_6896_cov_4.981289	6896	35405	5.13	1	14
NODE_9878_length_6877_cov_3.755790	6877	28489	4.14	0	19
NODE_9891_length_6863_cov_4.364718	6863	30857	4.50	0	10
NODE_9925_length_6840_cov_5.032867	6840	41649	6.09	1	23
NODE_10021_length_6764_cov_4.499776	6764	35182	5.20	1	12
NODE_10095_length_6710_cov_3.917806	6710	30677	4.57	0	39
NODE_10152_length_6678_cov_4.369621	6678	32670	4.89	1	14
NODE_10158_length_6673_cov_4.291931	6673	31907	4.78	1	13
NODE_10184_length_6653_cov_4.634889	6653	36009	5.41	0	78
NODE_10192_length_6648_cov_4.917943	6648	34785	5.23	1	15
NODE_10428_length_6475_cov_4.609346	6475	31956	4.94	1	16
NODE_10507_length_6433_cov_4.795390	6433	34151	5.31	0	15
NODE_10519_length_6423_cov_3.841709	6423	37909	5.90	1	81
NODE_10522_length_6422_cov_3.876394	6422	28901	4.50	1	20
NODE_10679_length_6307_cov_4.533269	6307	32299	5.12	0	13
NODE_10712_length_6285_cov_4.054575	6285	28406	4.52	1	11
NODE_10747_length_6256_cov_4.897113	6256	32540	5.20	1	11
NODE_10759_length_6250_cov_4.292978	6250	51364	8.22	1	51
NODE_10766_length_6244_cov_4.868315	6244	33871	5.42	0	29
NODE_10778_length_6237_cov_4.708994	6237	32506	5.21	1	27
NODE_10819_length_6204_cov_4.621402	6204	81368	13.12	0	35
NODE_10922_length_6125_cov_5.062932	6125	34942	5.70	0	18
NODE_10929_length_6120_cov_4.155153	6120	28689	4.69	1	13
NODE_10953_length_6104_cov_4.463713	6104	31632	5.18	1	18
NODE_11002_length_6073_cov_4.423230	6073	29228	4.81	1	20
NODE_11053_length_6042_cov_4.648071	6042	31439	5.20	1	10
NODE_11086_length_6018_cov_4.889317	6018	35970	5.98	1	14
NODE_11129_length_5994_cov_4.396026	5994	30993	5.17	1	13
NODE_11227_length_5929_cov_3.467143	5929	27557	4.65	0	18
NODE_11251_length_5915_cov_4.571160	5915	32515	5.50	0	13
NODE_11301_length_5885_cov_4.347170	5885	28854	4.90	1	28
NODE_11336_length_5860_cov_5.507838	5860	32722	5.58	1	20
NODE_11349_length_5853_cov_4.625905	5853	28368	4.85	1	21
NODE_11358_length_5846_cov_4.611639	5846	29418	5.03	0	12
NODE_11373_length_5836_cov_3.867670	5836	25546	4.38	1	12
NODE_11424_length_5802_cov_4.572125	5802	30285	5.22	0	11
NODE_11446_length_5788_cov_4.366126	5788	28854	4.99	1	23
NODE_11452_length_5786_cov_6.798639	5786	59418	10.27	1	42
NODE_11466_length_5778_cov_4.172811	5778	25775	4.46	1	10
NODE_11469_length_5776_cov_4.915924	5776	30431	5.27	1	19
NODE_11504_length_5758_cov_4.754866	5758	27956	4.86	1	13
NODE_11555_length_5724_cov_4.371318	5724	31884	5.57	0	32
NODE_11576_length_5714_cov_5.534370	5714	34932	6.11	1	14
NODE_11583_length_5709_cov_4.497524	5709	26889	4.71	0	11
NODE_11624_length_5685_cov_3.593428	5685	22567	3.97	1	10
NODE_11653_length_5673_cov_3.876290	5673	25718	4.53	0	11
NODE_11673_length_5661_cov_4.089904	5661	27625	4.88	1	27
NODE_11713_length_5638_cov_3.622604	5638	23823	4.23	1	9
NODE_11745_length_5619_cov_3.867721	5619	25350	4.51	1	20
NODE_11753_length_5614_cov_3.981112	5614	27326	4.87	1	14
NODE_11819_length_5578_cov_4.249321	5578	26041	4.67	1	11
NODE_12006_length_5476_cov_3.597676	5476	23824	4.35	0	13
NODE_12013_length_5473_cov_4.100037	5473	24292	4.44	1	15
NODE_12024_length_5467_cov_3.584442	5467	21951	4.02	0	10
NODE_12059_length_5450_cov_4.515663	5450	26535	4.87	1	10
NODE_12063_length_5449_cov_4.290508	5449	26891	4.94	0	19
NODE_12067_length_5447_cov_3.826224	5447	25361	4.66	1	19
NODE_12081_length_5442_cov_4.410247	5442	27247	5.01	1	11
NODE_12099_length_5432_cov_4.742979	5432	25625	4.72	0	13
NODE_12101_length_5432_cov_4.084806	5432	25266	4.65	1	11
NODE_12114_length_5425_cov_4.296462	5425	26252	4.84	0	22
NODE_12148_length_5406_cov_4.362175	5406	29314	5.42	1	12
NODE_12224_length_5361_cov_5.589144	5361	30008	5.60	1	13
NODE_12315_length_5309_cov_4.587172	5309	27119	5.11	1	20
NODE_12316_length_5309_cov_3.845261	5309	21932	4.13	0	9
NODE_12336_length_5300_cov_3.742803	5300	23949	4.52	1	12
NODE_12360_length_5289_cov_3.693542	5289	23547	4.45	1	10
NODE_12441_length_5249_cov_4.184444	5249	24283	4.63	1	10
NODE_12513_length_5210_cov_4.062076	5210	25408	4.88	1	10
NODE_12522_length_5207_cov_4.552213	5207	24963	4.79	1	28
NODE_12541_length_5200_cov_3.973761	5200	54701	10.52	1	56
NODE_12544_length_5199_cov_4.429238	5199	26861	5.17	1	10
NODE_12573_length_5188_cov_4.932398	5188	26599	5.13	1	11
NODE_12615_length_5168_cov_4.241932	5168	23526	4.55	1	13
NODE_12621_length_5167_cov_3.964984	5167	27281	5.28	1	55
NODE_12627_length_5165_cov_3.981213	5165	24943	4.83	1	10
NODE_12636_length_5161_cov_4.691344	5161	25255	4.89	1	11
NODE_12648_length_5155_cov_4.433922	5155	25046	4.86	0	31
NODE_12673_length_5147_cov_4.552632	5147	26065	5.06	1	13
NODE_12683_length_5142_cov_4.511893	5142	24543	4.77	1	12
NODE_12746_length_5122_cov_4.130452	5122	26695	5.21	1	14
NODE_12757_length_5116_cov_4.904169	5116	26848	5.25	1	12
NODE_12775_length_5108_cov_4.050663	5108	23544	4.61	1	17
NODE_12786_length_5104_cov_4.741137	5104	25399	4.98	1	11
NODE_12787_length_5104_cov_4.498713	5104	25815	5.06	1	12
NODE_12836_length_5081_cov_4.786709	5081	29269	5.76	1	12
NODE_12854_length_5071_cov_4.301236	5071	23267	4.59	0	9
NODE_12858_length_5070_cov_3.359521	5070	22032	4.35	1	21
NODE_12909_length_5046_cov_4.829092	5046	30037	5.95	1	45
NODE_12937_length_5033_cov_4.222178	5033	24116	4.79	1	11
NODE_12938_length_5032_cov_4.863572	5032	29316	5.83	1	16
NODE_12939_length_5032_cov_4.435001	5032	22549	4.48	1	12
NODE_12949_length_5029_cov_4.560515	5029	27059	5.38	0	17
NODE_12961_length_5023_cov_5.934984	5023	33029	6.58	1	17
NODE_12974_length_5019_cov_3.613215	5019	23464	4.68	1	23
NODE_13006_length_5005_cov_4.626869	5005	24776	4.95	0	13
NODE_13015_length_5000_cov_4.505359	5000	23263	4.65	1	24
NODE_13030_length_4993_cov_4.959903	4993	26549	5.32	1	13
NODE_13043_length_4988_cov_3.247922	4988	21131	4.24	1	23
NODE_13085_length_4969_cov_4.383598	4969	26484	5.33	0	15
NODE_13091_length_4967_cov_3.417142	4967	18835	3.79	0	15
NODE_13115_length_4958_cov_4.508668	4958	26907	5.43	0	13
NODE_13146_length_4943_cov_4.492226	4943	28999	5.87	1	32
NODE_13174_length_4933_cov_4.042230	4933	22577	4.58	1	11
NODE_13184_length_4931_cov_4.417555	4931	26785	5.43	1	11
NODE_13205_length_4922_cov_4.277584	4922	24773	5.03	0	11
NODE_13223_length_4916_cov_3.919564	4916	22931	4.66	1	12
NODE_13247_length_4907_cov_3.604493	4907	23236	4.74	1	50
NODE_13260_length_4900_cov_4.411558	4900	24734	5.05	1	13
NODE_13265_length_4896_cov_4.703161	4896	24164	4.94	1	11
NODE_13338_length_4870_cov_4.511526	4870	23707	4.87	1	22
NODE_13346_length_4868_cov_3.743611	4868	20623	4.24	1	10
NODE_13354_length_4865_cov_4.636175	4865	23587	4.85	1	15
NODE_13361_length_4861_cov_3.951935	4861	22984	4.73	1	10
NODE_13485_length_4802_cov_4.071414	4802	24543	5.11	1	16
NODE_13502_length_4797_cov_3.942218	4797	22592	4.71	1	10
NODE_13510_length_4792_cov_4.122440	4792	21670	4.52	1	29
NODE_13550_length_4777_cov_3.976917	4777	20736	4.34	1	14
NODE_13613_length_4752_cov_4.683841	4752	24033	5.06	1	27
NODE_13621_length_4748_cov_4.290859	4748	27136	5.72	1	20
NODE_13639_length_4742_cov_4.924259	4742	26343	5.56	1	26
NODE_13658_length_4734_cov_3.575764	4734	18670	3.94	1	12
NODE_13673_length_4728_cov_4.260646	4728	21898	4.63	0	13
NODE_13705_length_4711_cov_3.664304	4711	20790	4.41	1	27
NODE_13726_length_4703_cov_4.690404	4703	22497	4.78	1	11
NODE_13749_length_4694_cov_4.219444	4694	22230	4.74	1	9
NODE_13755_length_4692_cov_3.862627	4692	19790	4.22	1	21
NODE_13773_length_4686_cov_3.986396	4686	22813	4.87	1	11
NODE_13811_length_4673_cov_3.564097	4673	18931	4.05	0	9
NODE_13899_length_4639_cov_4.930410	4639	25173	5.43	1	19
NODE_13948_length_4619_cov_4.278922	4619	24316	5.26	1	14
NODE_13993_length_4602_cov_4.531779	4602	27383	5.95	1	29
NODE_14021_length_4590_cov_4.668798	4590	20127	4.38	0	8
NODE_14069_length_4573_cov_3.733732	4573	74110	16.21	0	96
NODE_14076_length_4571_cov_4.613153	4571	22656	4.96	1	13
NODE_14079_length_4570_cov_4.889258	4570	23813	5.21	1	12
NODE_14082_length_4569_cov_4.961896	4569	26216	5.74	1	22
NODE_14092_length_4566_cov_2.982487	4566	19823	4.34	1	16
NODE_14098_length_4564_cov_5.308938	4564	25257	5.53	1	12
NODE_14171_length_4534_cov_4.104711	4534	18747	4.13	1	11
NODE_14182_length_4530_cov_4.138101	4530	22576	4.98	1	17
NODE_14222_length_4513_cov_4.049574	4513	21072	4.67	0	10
NODE_14223_length_4513_cov_3.756842	4513	20249	4.49	1	10
NODE_14256_length_4501_cov_4.286325	4501	20313	4.51	1	10
NODE_14258_length_4500_cov_4.293363	4500	20400	4.53	1	35
NODE_14265_length_4498_cov_3.984470	4498	27060	6.02	1	41
NODE_14292_length_4488_cov_4.320099	4488	21346	4.76	1	13
NODE_14325_length_4473_cov_3.722725	4473	17272	3.86	0	10
NODE_14341_length_4469_cov_3.951065	4469	17976	4.02	1	12
NODE_14373_length_4458_cov_4.518056	4458	22543	5.06	1	12
NODE_14375_length_4458_cov_4.060413	4458	17743	3.98	0	9
NODE_14386_length_4453_cov_5.013870	4453	22897	5.14	0	13
NODE_14391_length_4452_cov_4.355697	4452	35741	8.03	1	169
NODE_14395_length_4451_cov_4.296406	4451	21808	4.90	0	19
NODE_14406_length_4448_cov_4.841338	4448	25309	5.69	1	16
NODE_14421_length_4442_cov_3.511511	4442	16046	3.61	1	20
NODE_14428_length_4440_cov_4.056556	4440	19116	4.31	0	25
NODE_14440_length_4434_cov_3.406257	4434	17961	4.05	1	11
NODE_14444_length_4433_cov_4.291457	4433	22208	5.01	1	10
NODE_14479_length_4421_cov_4.817453	4421	23765	5.38	1	10
NODE_14484_length_4420_cov_4.527377	4420	20815	4.71	1	10
NODE_14520_length_4407_cov_4.396829	4407	21641	4.91	0	16
NODE_14531_length_4401_cov_4.415324	4401	21066	4.79	1	11
NODE_14544_length_4397_cov_4.470290	4397	20303	4.62	1	9
NODE_14556_length_4394_cov_3.913575	4394	20654	4.70	0	10
NODE_14574_length_4387_cov_4.570406	4387	24965	5.69	1	42
NODE_14598_length_4380_cov_4.328555	4380	21934	5.01	1	17
NODE_14614_length_4374_cov_3.597824	4374	19265	4.40	1	11
NODE_14633_length_4367_cov_4.919759	4367	21735	4.98	1	13
NODE_14738_length_4332_cov_4.441899	4332	22102	5.10	1	12
NODE_14755_length_4325_cov_5.287354	4325	21106	4.88	1	9
NODE_14771_length_4320_cov_4.471043	4320	23741	5.50	1	14
NODE_14824_length_4303_cov_4.554614	4303	20984	4.88	0	15
NODE_14826_length_4303_cov_3.728578	4303	16336	3.80	1	19
NODE_14833_length_4300_cov_3.678681	4300	17517	4.07	1	14
NODE_14844_length_4294_cov_5.330502	4294	25459	5.93	1	33
NODE_14852_length_4291_cov_4.354344	4291	19205	4.48	1	11
NODE_14889_length_4281_cov_4.316848	4281	23103	5.40	1	13
NODE_14890_length_4281_cov_3.477283	4281	17187	4.01	1	13
NODE_14959_length_4261_cov_3.933428	4261	20411	4.79	1	30
NODE_14985_length_4251_cov_5.768589	4251	27555	6.48	1	16
NODE_15000_length_4248_cov_3.347484	4248	17477	4.11	1	11
NODE_15005_length_4247_cov_4.648378	4247	20461	4.82	0	17
NODE_15013_length_4245_cov_4.291647	4245	19711	4.64	1	11
NODE_15033_length_4237_cov_4.891679	4237	23139	5.46	1	25
NODE_15079_length_4225_cov_3.856595	4225	19266	4.56	1	12
NODE_15105_length_4218_cov_5.696853	4218	25595	6.07	1	14
NODE_15108_length_4216_cov_4.472002	4216	20362	4.83	0	10
NODE_15226_length_4175_cov_4.425728	4175	21879	5.24	1	12
NODE_15235_length_4173_cov_4.736037	4173	22383	5.36	1	12
NODE_15238_length_4173_cov_4.221710	4173	21956	5.26	1	12
NODE_15293_length_4157_cov_4.185519	4157	20353	4.90	1	11
NODE_15307_length_4155_cov_4.258780	4155	20504	4.93	1	13
NODE_15360_length_4143_cov_3.343444	4143	15022	3.63	0	10
NODE_15365_length_4142_cov_4.916320	4142	22902	5.53	1	11
NODE_15443_length_4125_cov_4.228747	4125	20678	5.01	0	13
NODE_15498_length_4110_cov_4.177559	4110	20401	4.96	0	25
NODE_15538_length_4096_cov_4.379856	4096	21267	5.19	1	14
NODE_15539_length_4096_cov_4.330364	4096	19015	4.64	1	10
NODE_15552_length_4090_cov_4.296159	4090	20588	5.03	1	24
NODE_15594_length_4078_cov_4.003729	4078	16467	4.04	1	9
NODE_15684_length_4052_cov_4.598949	4052	19512	4.82	1	12
NODE_15740_length_4038_cov_6.711022	4038	31037	7.69	1	18
NODE_15747_length_4038_cov_3.693447	4038	16539	4.10	1	8
NODE_15789_length_4028_cov_4.246413	4028	19517	4.85	1	11
NODE_15845_length_4014_cov_3.882546	4014	25609	6.38	1	453
NODE_15869_length_4008_cov_5.068050	4008	22196	5.54	1	13
NODE_15879_length_4006_cov_3.663376	4006	18069	4.51	0	12
NODE_15889_length_4003_cov_4.090426	4003	19947	4.98	1	24
NODE_15950_length_3988_cov_4.180015	3988	17896	4.49	1	17
NODE_15951_length_3987_cov_5.883266	3987	22587	5.67	0	13
NODE_16029_length_3966_cov_4.863718	3966	19810	4.99	1	27
NODE_16062_length_3958_cov_3.017422	3958	13708	3.46	1	16
NODE_16089_length_3950_cov_3.362003	3950	15105	3.82	1	11
NODE_16096_length_3949_cov_3.553416	3949	17501	4.43	0	12
NODE_16117_length_3942_cov_3.889118	3942	18217	4.62	1	18
NODE_16177_length_3926_cov_4.967450	3926	20130	5.13	1	54
NODE_16195_length_3921_cov_5.419814	3921	21107	5.38	1	13
NODE_16218_length_3914_cov_3.635657	3914	19618	5.01	1	21
NODE_16225_length_3913_cov_4.502333	3913	18613	4.76	1	9
NODE_16250_length_3905_cov_4.996883	3905	21561	5.52	0	11
NODE_16259_length_3903_cov_3.574844	3903	15779	4.04	0	11
NODE_16316_length_3891_cov_5.361575	3891	21533	5.53	1	11
NODE_16354_length_3883_cov_4.346134	3883	18595	4.79	0	11
NODE_16386_length_3874_cov_4.242734	3874	23436	6.05	0	39
NODE_16432_length_3864_cov_4.156734	3864	19612	5.08	0	21
NODE_16443_length_3860_cov_8.506439	3860	70357	18.23	5	32
NODE_16445_length_3860_cov_4.031275	3860	18469	4.78	1	21
NODE_16449_length_3859_cov_4.367508	3859	21311	5.52	1	15
NODE_16450_length_3859_cov_4.254732	3859	18603	4.82	1	9
NODE_16455_length_3857_cov_4.596528	3857	19691	5.11	1	16
NODE_16483_length_3850_cov_5.167852	3850	20253	5.26	1	11
NODE_16504_length_3845_cov_3.886016	3845	16605	4.32	1	11
NODE_16516_length_3842_cov_4.750198	3842	20745	5.40	1	14
NODE_16530_length_3838_cov_4.391753	3838	18467	4.81	0	26
NODE_16532_length_3837_cov_8.470650	3837	78095	20.35	4	42
NODE_16539_length_3836_cov_4.022481	3836	19616	5.11	1	13
NODE_16559_length_3832_cov_4.091342	3832	16184	4.22	1	9
NODE_16598_length_3822_cov_4.775153	3822	23482	6.14	1	15
NODE_16607_length_3820_cov_3.750863	3820	14278	3.74	0	8
NODE_16611_length_3819_cov_5.067747	3819	23441	6.14	1	17
NODE_16651_length_3808_cov_3.788169	3808	17046	4.48	1	10
NODE_16663_length_3804_cov_3.669779	3804	17064	4.49	1	9
NODE_16671_length_3801_cov_4.306727	3801	20605	5.42	1	11
NODE_16674_length_3800_cov_3.313752	3800	16842	4.43	1	16
NODE_16727_length_3785_cov_4.786595	3785	22966	6.07	1	34
NODE_16732_length_3784_cov_3.412175	3784	16059	4.24	1	9
NODE_16784_length_3773_cov_4.074771	3773	18790	4.98	0	26
NODE_16813_length_3767_cov_4.149515	3767	16931	4.49	1	10
NODE_16831_length_3764_cov_5.916150	3764	24928	6.62	1	13
NODE_16832_length_3764_cov_5.096522	3764	21345	5.67	1	17
NODE_16904_length_3746_cov_5.235167	3746	22815	6.09	1	12
NODE_16913_length_3745_cov_3.585366	3745	16922	4.52	1	21
NODE_16937_length_3740_cov_3.449932	3740	14928	3.99	1	14
NODE_17008_length_3728_cov_4.421182	3728	19028	5.10	0	25
NODE_17019_length_3726_cov_5.180332	3726	20730	5.56	0	30
NODE_17034_length_3723_cov_3.806161	3723	17264	4.64	1	14
NODE_17052_length_3720_cov_4.458663	3720	17871	4.80	1	13
NODE_17077_length_3712_cov_3.612524	3712	14725	3.97	0	9
NODE_17151_length_3695_cov_4.044231	3695	17769	4.81	1	19
NODE_17162_length_3692_cov_3.957932	3692	15866	4.30	1	9
NODE_17186_length_3687_cov_4.811949	3687	19370	5.25	1	15
NODE_17196_length_3685_cov_4.463912	3685	18369	4.98	1	20
NODE_17260_length_3670_cov_5.321715	3670	20571	5.61	1	11
NODE_17327_length_3655_cov_4.507222	3655	18376	5.03	1	21
NODE_17336_length_3653_cov_4.172596	3653	17679	4.84	1	17
NODE_17340_length_3652_cov_4.830970	3652	20466	5.60	1	16
NODE_17373_length_3645_cov_5.646797	3645	20698	5.68	1	12
NODE_17412_length_3635_cov_5.334358	3635	22936	6.31	0	18
NODE_17481_length_3621_cov_4.063376	3621	15569	4.30	0	10
NODE_17487_length_3620_cov_3.258345	3620	18818	5.20	1	58
NODE_17512_length_3613_cov_4.304666	3613	16846	4.66	1	11
NODE_17614_length_3591_cov_4.162613	3591	20199	5.62	1	13
NODE_17636_length_3585_cov_4.254674	3585	15759	4.40	1	10
NODE_17651_length_3583_cov_3.802438	3583	13869	3.87	0	8
NODE_17665_length_3579_cov_3.802497	3579	16534	4.62	1	11
NODE_17668_length_3578_cov_5.443372	3578	19542	5.46	1	11
NODE_17706_length_3571_cov_4.114050	3571	15891	4.45	1	9
NODE_17712_length_3569_cov_4.289414	3569	16833	4.72	0	13
NODE_17714_length_3569_cov_4.102732	3569	14313	4.01	0	10
NODE_17734_length_3565_cov_4.188889	3565	16115	4.52	0	10
NODE_17743_length_3563_cov_4.003706	3563	14989	4.21	1	11
NODE_17762_length_3559_cov_3.635559	3559	12791	3.59	0	12
NODE_17796_length_3552_cov_5.163283	3552	20528	5.78	1	27
NODE_17870_length_3536_cov_3.769606	3536	18809	5.32	1	26
NODE_17905_length_3529_cov_3.995970	3529	22084	6.26	1	35
NODE_17921_length_3527_cov_4.390553	3527	17602	4.99	1	13
NODE_17937_length_3523_cov_4.195790	3523	17618	5.00	1	11
NODE_17989_length_3513_cov_4.855986	3513	17190	4.89	1	10
NODE_18008_length_3510_cov_4.706802	3510	20172	5.75	1	27
NODE_18023_length_3508_cov_3.671590	3508	13401	3.82	1	9
NODE_18039_length_3505_cov_4.805507	3505	17596	5.02	1	11
NODE_18049_length_3503_cov_4.073666	3503	16335	4.66	1	10
NODE_18080_length_3497_cov_4.841662	3497	19250	5.50	1	15
NODE_18093_length_3494_cov_7.078220	3494	20865	5.97	1	26
NODE_18098_length_3493_cov_4.620710	3493	16794	4.81	0	10
NODE_18125_length_3488_cov_4.140402	3488	21344	6.12	1	34
NODE_18168_length_3481_cov_4.253357	3481	19513	5.61	1	12
NODE_18187_length_3475_cov_5.399123	3475	21135	6.08	1	14
NODE_18199_length_3473_cov_4.718549	3473	18266	5.26	1	25
NODE_18256_length_3464_cov_3.907598	3464	15124	4.37	1	9
NODE_18321_length_3451_cov_5.261190	3451	20280	5.88	1	13
NODE_18326_length_3450_cov_5.064212	3450	16190	4.69	1	11
NODE_18345_length_3446_cov_4.383368	3446	16580	4.81	1	12
NODE_18357_length_3443_cov_4.310508	3443	16314	4.74	1	29
NODE_18439_length_3426_cov_4.688816	3426	18146	5.30	1	15
NODE_18534_length_3409_cov_3.829756	3409	14693	4.31	1	8
NODE_18573_length_3403_cov_3.936081	3403	12479	3.67	1	8
NODE_18581_length_3401_cov_3.741184	3401	14641	4.30	1	12
NODE_18598_length_3399_cov_3.982656	3399	13769	4.05	1	16
NODE_18761_length_3369_cov_4.258600	3369	16471	4.89	1	12
NODE_18797_length_3362_cov_4.791654	3362	17049	5.07	1	10
NODE_18806_length_3361_cov_4.226255	3361	16623	4.95	0	9
NODE_18818_length_3359_cov_5.258475	3359	18762	5.59	1	21
NODE_18819_length_3359_cov_4.371368	3359	18485	5.50	1	16
NODE_18836_length_3356_cov_2.994547	3356	14163	4.22	1	10
NODE_18886_length_3348_cov_4.965988	3348	17810	5.32	1	10
NODE_18887_length_3348_cov_4.775888	3348	18664	5.57	1	12
NODE_18933_length_3341_cov_4.473828	3341	16747	5.01	0	19
NODE_18989_length_3331_cov_3.634005	3331	14156	4.25	0	12
NODE_18998_length_3330_cov_3.612519	3330	14693	4.41	1	12
NODE_19027_length_3325_cov_4.237920	3325	16552	4.98	1	12
NODE_19063_length_3320_cov_4.912098	3320	18142	5.46	1	11
NODE_19106_length_3313_cov_3.453653	3313	13535	4.09	1	10
NODE_19113_length_3311_cov_4.205774	3311	14459	4.37	1	23
NODE_19128_length_3308_cov_3.543498	3308	12714	3.84	1	10
NODE_19156_length_3305_cov_4.126462	3305	16539	5.00	0	12
NODE_19166_length_3303_cov_3.913485	3303	26098	7.90	0	29
NODE_19172_length_3302_cov_5.329843	3302	14691	4.45	0	11
NODE_19182_length_3300_cov_4.520493	3300	17938	5.44	1	13
NODE_19195_length_3298_cov_3.861240	3298	15776	4.78	1	18
NODE_19206_length_3296_cov_3.874730	3296	14793	4.49	1	10
NODE_19227_length_3292_cov_3.740809	3292	14510	4.41	1	16
NODE_19237_length_3289_cov_7.460421	3289	34652	10.54	0	36
NODE_19246_length_3288_cov_3.746056	3288	14209	4.32	1	12
NODE_19269_length_3284_cov_4.844224	3284	18122	5.52	1	17
NODE_19281_length_3283_cov_4.450743	3283	16848	5.13	1	19
NODE_19284_length_3283_cov_3.511152	3283	13225	4.03	1	8
NODE_19295_length_3281_cov_3.579045	3281	14505	4.42	0	11
NODE_19315_length_3277_cov_3.995655	3277	14610	4.46	1	10
NODE_19323_length_3276_cov_4.866501	3276	16056	4.90	0	25
NODE_19345_length_3272_cov_4.935965	3272	21037	6.43	1	37
NODE_19346_length_3272_cov_3.715574	3272	14660	4.48	0	8
NODE_19351_length_3271_cov_10.194652	3271	49002	14.98	2	99
NODE_19389_length_3265_cov_3.545483	3265	13138	4.02	1	13
NODE_19395_length_3264_cov_3.647554	3264	14799	4.53	1	25
NODE_19412_length_3261_cov_3.993138	3261	15719	4.82	1	11
NODE_19418_length_3260_cov_4.227457	3260	15132	4.64	0	11
NODE_19419_length_3260_cov_3.702340	3260	13403	4.11	1	9
NODE_19421_length_3260_cov_3.600936	3260	13057	4.01	1	16
NODE_19462_length_3252_cov_3.480450	3252	13845	4.26	0	9
NODE_19472_length_3250_cov_5.286072	3250	17973	5.53	1	15
NODE_19496_length_3244_cov_4.824396	3244	16833	5.19	1	16
NODE_19583_length_3232_cov_4.483475	3232	20973	6.49	1	30
NODE_19585_length_3232_cov_3.863078	3232	14966	4.63	0	17
NODE_19588_length_3231_cov_7.062657	3231	27355	8.47	1	19
NODE_19592_length_3231_cov_4.197418	3231	15442	4.78	0	14
NODE_19613_length_3227_cov_4.863493	3227	17121	5.31	1	12
NODE_19644_length_3224_cov_7.599878	3224	30252	9.38	3	29
NODE_19646_length_3224_cov_4.349953	3224	17218	5.34	1	11
NODE_19658_length_3223_cov_4.247159	3223	13727	4.26	1	11
NODE_19682_length_3220_cov_3.607267	3220	16433	5.10	0	43
NODE_19698_length_3217_cov_3.279886	3217	13723	4.27	0	9
NODE_19713_length_3214_cov_4.664134	3214	15440	4.80	0	12
NODE_19719_length_3213_cov_4.146928	3213	15329	4.77	1	17
NODE_19720_length_3213_cov_4.106396	3213	13942	4.34	1	9
NODE_19736_length_3211_cov_3.815272	3211	14170	4.41	0	12
NODE_19741_length_3210_cov_4.504279	3210	16452	5.13	0	24
NODE_19764_length_3205_cov_3.971111	3205	13382	4.18	1	9
NODE_19829_length_3193_cov_4.410134	3193	22151	6.94	0	161
