gene_id	name	product
ADCJACHI_01880	resA_4	Thiol-disulfide oxidoreductase ResA
ADCJACHI_01881	dsbD	Thiol:disulfide interchange protein DsbD
ADCJACHI_01894	cyaY	Iron-sulfur cluster assembly protein CyaY
ADCJACHI_01962	cysH	Thioredoxin-dependent 5'-adenylylsulfate reductase
ADCJACHI_01989	dsbC_2	putative thiol:disulfide interchange protein DsbC
ADCJACHI_02042	csh	Carbon disulfide hydrolase
ADCJACHI_02112	glpE_3	Thiosulfate sulfurtransferase GlpE
ADCJACHI_02176	petA_2	Ubiquinol-cytochrome c reductase iron-sulfur subunit
ADCJACHI_02186	tusE_5	Sulfurtransferase TusE
ADCJACHI_02204	metZ	O-succinylhomoserine sulfhydrylase
ADCJACHI_02307	iscS_2	Cysteine desulfurase IscS
ADCJACHI_02308	iscU_2	Iron-sulfur cluster assembly scaffold protein IscU
ADCJACHI_02309	iscA_2	Iron-binding protein IscA
ADCJACHI_02488	czcA_2	Cobalt-zinc-cadmium resistance protein CzcA
ADCJACHI_02588	czcB	Cobalt-zinc-cadmium resistance protein CzcB
ADCJACHI_02589	czcA_3	Cobalt-zinc-cadmium resistance protein CzcA
ADCJACHI_02668	nosL	Copper-binding lipoprotein NosL
ADCJACHI_02884	ssuA	Putative aliphatic sulfonates-binding protein
ADCJACHI_02885	ssuC	Putative aliphatic sulfonates transport permease protein SsuC
ADCJACHI_03002	sat	Sulfate adenylyltransferase
BLJCMOME_00027	msrB_1	Peptide methionine sulfoxide reductase MsrB
BLJCMOME_00041	iscA	Iron-binding protein IscA
BLJCMOME_00043	sufS	Cysteine desulfurase
BLJCMOME_00085	msrA_1	Peptide methionine sulfoxide reductase MsrA
BLJCMOME_00088	erpA	Iron-sulfur cluster insertion protein ErpA
BLJCMOME_00111	msrC	Free methionine-R-sulfoxide reductase
BLJCMOME_00166	ftsH	ATP-dependent zinc metalloprotease FtsH
BLJCMOME_00188	dsbB	Disulfide bond formation protein B
BLJCMOME_00195	fieF	Ferrous-iron efflux pump FieF
BLJCMOME_00232	ttuC	Sulfur carrier protein adenylyltransferase
BLJCMOME_00237	BLJCMOME_00237	Iron-sulfur cluster carrier protein
BLJCMOME_00243	msrB_2	Peptide methionine sulfoxide reductase MsrB
BLJCMOME_00415	sufE	Cysteine desulfuration protein SufE
BLJCMOME_00458	copA_1	Copper-exporting P-type ATPase
BLJCMOME_00469	cysH	Phosphoadenosine phosphosulfate reductase
BLJCMOME_00471	sir	Sulfite reductase [ferredoxin]
BLJCMOME_00476	sseA	3-mercaptopyruvate sulfurtransferase
BLJCMOME_00480	psrA_1	Polysulfide reductase chain A
BLJCMOME_00557	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
BLJCMOME_00661	copB	Copper resistance protein B
BLJCMOME_00662	copA_2	Copper resistance protein A
BLJCMOME_00731	iscS_1	Cysteine desulfurase IscS
BLJCMOME_00732	iscS_2	Cysteine desulfurase IscS
BLJCMOME_00763	safD	Sulfoacetaldehyde dehydrogenase
BLJCMOME_00817	sdhB	Succinate dehydrogenase iron-sulfur subunit
BLJCMOME_00941	yedY1	Putative protein-methionine-sulfoxide reductase subunit YedZ1
BLJCMOME_01010	petA	Ubiquinol-cytochrome c reductase iron-sulfur subunit
BLJCMOME_01097	cysD	Sulfate adenylyltransferase subunit 2
BLJCMOME_01186	msrA_2	Peptide methionine sulfoxide reductase MsrA
BLJCMOME_01312	dsbE	Thiol:disulfide interchange protein DsbE
BLJCMOME_01475	tsaC1_1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
BLJCMOME_01497	psrA_2	Polysulfide reductase chain A
BLJCMOME_01529	fdhD	Sulfur carrier protein FdhD
BLJCMOME_01552	BLJCMOME_01552	Iron-sulfur cluster carrier protein
BLJCMOME_01728	sauS	Sulfoacetaldehyde dehydrogenase (acylating)
BLJCMOME_01803	soxR	Redox-sensitive transcriptional activator SoxR
BLJCMOME_01857	tsaC1_2	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
BLJCMOME_02130	tlpA	Thiol:disulfide interchange protein TlpA
BLJCMOME_02141	metZ	O-succinylhomoserine sulfhydrylase
BLJCMOME_02188	yihU	3-sulfolactaldehyde reductase
BLJCMOME_02210	psrA_3	Polysulfide reductase chain A
BLJCMOME_02313	BLJCMOME_02313	Sulfide-quinone reductase
BLJCMOME_02337	ssuD	Alkanesulfonate monooxygenase
BLJCMOME_02380	BLJCMOME_02380	O-acetyl-L-homoserine sulfhydrylase
BLJCMOME_02793	yghU	Disulfide-bond oxidoreductase YghU
GKHBIENG_00013	ricR	Copper-sensing transcriptional repressor RicR
GKHBIENG_00016	rip3	Putative zinc metalloprotease Rip3
GKHBIENG_00113	GKHBIENG_00113	6-deoxy-6-sulfo-D-gluconate dehydratase
GKHBIENG_00206	cysK1	O-acetylserine sulfhydrylase
GKHBIENG_00310	fdhD	Sulfur carrier protein FdhD
GKHBIENG_00313	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GKHBIENG_00372	ftsH	ATP-dependent zinc metalloprotease FtsH
GKHBIENG_00474	rip1	Zinc metalloprotease Rip1
GKHBIENG_00639	qcrA	Cytochrome bc1 complex Rieske iron-sulfur subunit
GKHBIENG_00699	msrB	Peptide methionine sulfoxide reductase MsrB
GKHBIENG_00782	sufU	Zinc-dependent sulfurtransferase SufU
GKHBIENG_00783	csd	putative cysteine desulfurase
GKHBIENG_00800	glpE	Thiosulfate sulfurtransferase GlpE
GKHBIENG_00854	cysO_1	Sulfur carrier protein CysO
GKHBIENG_00855	cysM	O-phosphoserine sulfhydrylase
GKHBIENG_00880	msrA	Peptide methionine sulfoxide reductase MsrA
GKHBIENG_00959	fadF	putative iron-sulfur-binding oxidoreductase FadF
GKHBIENG_01006	tsaM1	Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
GKHBIENG_01043	cysA	Sulfate/thiosulfate import ATP-binding protein CysA
GKHBIENG_01051	baeB	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
GKHBIENG_01118	iscS	Cysteine desulfurase IscS
GKHBIENG_01183	GKHBIENG_01183	Arylsulfatase
GKHBIENG_01188	dsbD	Thiol:disulfide interchange protein DsbD
GKHBIENG_01216	GKHBIENG_01216	putative sulfate transporter
GKHBIENG_01248	resA_1	Thiol-disulfide oxidoreductase ResA
GKHBIENG_01298	cdr	Coenzyme A disulfide reductase
GKHBIENG_01421	yitD	Phosphosulfolactate synthase
GKHBIENG_01423	sauT	putative sulfoacetate--CoA ligase
GKHBIENG_01465	dddP	Dimethlysulfonioproprionate lyase DddP
GKHBIENG_01470	tsaC1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
GKHBIENG_01516	zur	Zinc uptake regulation protein
GKHBIENG_01520	znuB	High-affinity zinc uptake system membrane protein ZnuB
GKHBIENG_01566	nifS	Cysteine desulfurase NifS
GKHBIENG_01567	sqr	Sulfide-quinone reductase
GKHBIENG_01573	mrp	Iron-sulfur cluster carrier protein
GKHBIENG_01577	resA_2	Thiol-disulfide oxidoreductase ResA
GKHBIENG_01791	erpA	Iron-sulfur cluster insertion protein ErpA
GKHBIENG_01812	cysD	Sulfate adenylyltransferase subunit 2
GKHBIENG_01813	cysH	putative phosphoadenosine phosphosulfate reductase
GKHBIENG_01893	cysO_2	Sulfur carrier protein CysO
DJAIPHFI_00078	efeU	Ferrous iron permease EfeU
DJAIPHFI_00111	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
DJAIPHFI_00140	dsbD	Thiol:disulfide interchange protein DsbD
DJAIPHFI_00187	DJAIPHFI_00187	Iron-sulfur cluster carrier protein
DJAIPHFI_00198	ttuD	Sulfur carrier protein TtuD
DJAIPHFI_00222	tsaC1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
DJAIPHFI_00224	safD	Sulfoacetaldehyde dehydrogenase
DJAIPHFI_00250	ideR	Iron-dependent repressor IdeR
DJAIPHFI_00257	glpE	Thiosulfate sulfurtransferase GlpE
DJAIPHFI_00259	DJAIPHFI_00259	Sulfurtransferase
DJAIPHFI_00299	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
DJAIPHFI_00318	DJAIPHFI_00318	O-acetyl-L-homoserine sulfhydrylase
DJAIPHFI_00461	ssuC	Putative aliphatic sulfonates transport permease protein SsuC
DJAIPHFI_00507	copA_1	Copper-exporting P-type ATPase
DJAIPHFI_00512	sat	Sulfate adenylyltransferase
DJAIPHFI_00534	betC	Choline-sulfatase
DJAIPHFI_00627	slcC	(S)-sulfolactate dehydrogenase
DJAIPHFI_00653	sufS_1	Cysteine desulfurase
DJAIPHFI_00687	DJAIPHFI_00687	Sulfurtransferase
DJAIPHFI_00694	iscS	Cysteine desulfurase IscS
DJAIPHFI_00757	cysP	Sulfate permease CysP
DJAIPHFI_00869	copA_2	Copper-exporting P-type ATPase
DJAIPHFI_00982	resA_1	Thiol-disulfide oxidoreductase ResA
DJAIPHFI_00988	metZ_1	O-succinylhomoserine sulfhydrylase
DJAIPHFI_01011	DJAIPHFI_01011	3-sulfolactaldehyde dehydrogenase
DJAIPHFI_01030	msrC	Free methionine-R-sulfoxide reductase
DJAIPHFI_01043	frdB_1	Fumarate reductase iron-sulfur subunit
DJAIPHFI_01047	frdB_2	Fumarate reductase iron-sulfur subunit
DJAIPHFI_01061	sufU	Zinc-dependent sulfurtransferase SufU
DJAIPHFI_01062	sufS_2	Cysteine desulfurase SufS
DJAIPHFI_01081	ftsH_1	ATP-dependent zinc metalloprotease FtsH
DJAIPHFI_01188	sfnG	FMNH(2)-dependent dimethylsulfone monooxygenase
DJAIPHFI_01191	metZ_2	O-succinylhomoserine sulfhydrylase
DJAIPHFI_01248	comB	putative 2-phosphosulfolactate phosphatase
DJAIPHFI_01373	yitD	Phosphosulfolactate synthase
DJAIPHFI_01436	DJAIPHFI_01436	Iron-sulfur cluster carrier protein
DJAIPHFI_01439	resA_2	Thiol-disulfide oxidoreductase ResA
DJAIPHFI_01526	chuR	Anaerobic sulfatase-maturating enzyme
DJAIPHFI_01670	DJAIPHFI_01670	putative zinc protease
DJAIPHFI_01682	resA_3	Thiol-disulfide oxidoreductase ResA
DJAIPHFI_01753	erpA	Iron-sulfur cluster insertion protein ErpA
DJAIPHFI_01850	ftsH_2	ATP-dependent zinc metalloprotease FtsH
DJAIPHFI_01894	cysW	Sulfate transport system permease protein CysW
DJAIPHFI_01907	cysH	Phosphoadenosine phosphosulfate reductase
DJAIPHFI_01947	mrp	Iron-sulfur cluster carrier protein
DJAIPHFI_02136	stoA	Sporulation thiol-disulfide oxidoreductase A
DJAIPHFI_02157	DJAIPHFI_02157	Ulvan-active sulfatase
DJAIPHFI_02237	sseB_1	Putative thiosulfate sulfurtransferase SseB
DJAIPHFI_02294	copA_3	Copper-exporting P-type ATPase
DJAIPHFI_02484	sseB_2	Putative thiosulfate sulfurtransferase SseB
DJAIPHFI_02517	zur	Zinc uptake regulation protein
DJAIPHFI_02548	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
INIKGKLL_00124	msrA	Peptide methionine sulfoxide reductase MsrA
INIKGKLL_00138	INIKGKLL_00138	Iron-sulfur cluster carrier protein
INIKGKLL_00140	msrB	Peptide methionine sulfoxide reductase MsrB
INIKGKLL_00214	INIKGKLL_00214	putative zinc-binding alcohol dehydrogenase
INIKGKLL_00232	resA_1	Thiol-disulfide oxidoreductase ResA
INIKGKLL_00304	zur	Zinc uptake regulation protein
INIKGKLL_00316	yedY1	Putative protein-methionine-sulfoxide reductase subunit YedZ1
INIKGKLL_00345	fccB	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
INIKGKLL_00347	glpE	Thiosulfate sulfurtransferase GlpE
INIKGKLL_00617	cupin	1-methylthio-D-xylulose 5-phosphate methylsulfurylase
INIKGKLL_00618	sseB	Putative thiosulfate sulfurtransferase SseB
INIKGKLL_00660	ftsH	ATP-dependent zinc metalloprotease FtsH
INIKGKLL_00712	resA_2	Thiol-disulfide oxidoreductase ResA
INIKGKLL_00804	ideR	Iron-dependent repressor IdeR
INIKGKLL_00841	mmcO_1	Multicopper oxidase MmcO
INIKGKLL_00973	copA_1	putative copper-importing P-type ATPase A
INIKGKLL_00974	actP	Copper-transporting P-type ATPase
INIKGKLL_00975	csoR_1	Copper-sensing transcriptional repressor CsoR
INIKGKLL_01063	iscS	Cysteine desulfurase IscS
INIKGKLL_01137	INIKGKLL_01137	putative zinc protease
INIKGKLL_01253	fdhD	Sulfur carrier protein FdhD
INIKGKLL_01268	sqr	Sulfide-quinone reductase
INIKGKLL_01300	soxR	Redox-sensitive transcriptional activator SoxR
INIKGKLL_01345	INIKGKLL_01345	O-acetyl-L-homoserine sulfhydrylase
INIKGKLL_01453	thiS	Sulfur carrier protein ThiS
INIKGKLL_01597	petC	Cytochrome b6-f complex iron-sulfur subunit
INIKGKLL_01760	resA_3	Thiol-disulfide oxidoreductase ResA
INIKGKLL_01792	egtE	hercynylcysteine sulfoxide lyase
INIKGKLL_01796	resA_4	Thiol-disulfide oxidoreductase ResA
INIKGKLL_01873	resA_5	Thiol-disulfide oxidoreductase ResA
INIKGKLL_01884	sufS	Cysteine desulfurase SufS
INIKGKLL_01885	sufU	Zinc-dependent sulfurtransferase SufU
INIKGKLL_01894	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
INIKGKLL_01936	moeZ	putative adenylyltransferase/sulfurtransferase MoeZ
INIKGKLL_02022	dsbD	Thiol:disulfide interchange protein DsbD
INIKGKLL_02055	resA_6	Thiol-disulfide oxidoreductase ResA
INIKGKLL_02058	copA_2	Copper-exporting P-type ATPase
INIKGKLL_02094	csoR_2	Copper-sensing transcriptional repressor CsoR
INIKGKLL_02349	mmcO_2	Multicopper oxidase MmcO
INIKGKLL_02353	czcA	Cobalt-zinc-cadmium resistance protein CzcA
INIKGKLL_02380	mmcO_3	Multicopper oxidase MmcO
INIKGKLL_02384	resA_7	Thiol-disulfide oxidoreductase ResA
INIKGKLL_02487	fdoH	Formate dehydrogenase-O iron-sulfur subunit
ABALIJJO_00002	ABALIJJO_00002	putative zinc protease
ABALIJJO_00050	ABALIJJO_00050	Sulfurtransferase
ABALIJJO_00191	cysK1	O-acetylserine sulfhydrylase
ABALIJJO_00265	fieF	Ferrous-iron efflux pump FieF
ABALIJJO_00314	sauU	putative sulfoacetate transporter SauU
ABALIJJO_00400	petC_1	Cytochrome b6-f complex iron-sulfur subunit
ABALIJJO_00421	nifS	Cysteine desulfurase NifS
ABALIJJO_00430	rip3	Putative zinc metalloprotease Rip3
ABALIJJO_00434	moeZ	putative adenylyltransferase/sulfurtransferase MoeZ
ABALIJJO_00464	sir	Sulfite reductase [ferredoxin]
ABALIJJO_00465	cysH	Phosphoadenosine phosphosulfate reductase
ABALIJJO_00466	cysN	Sulfate adenylyltransferase subunit 1
ABALIJJO_00467	cysD	Sulfate adenylyltransferase subunit 2
ABALIJJO_00504	ABALIJJO_00504	Dissimilatory sulfite reductase
ABALIJJO_00568	ABALIJJO_00568	6-deoxy-6-sulfogluconolactonase
ABALIJJO_00683	czcA_1	Cobalt-zinc-cadmium resistance protein CzcA
ABALIJJO_00718	ABALIJJO_00718	N-acetylglucosamine-6-O-sulfatase
ABALIJJO_00736	msrP_1	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ABALIJJO_00790	czcC	Cobalt-zinc-cadmium resistance protein CzcC
ABALIJJO_00791	czcB	Cobalt-zinc-cadmium resistance protein CzcB
ABALIJJO_00793	czcA_2	Cobalt-zinc-cadmium resistance protein CzcA
ABALIJJO_00825	msrA3	Peptide methionine sulfoxide reductase MsrA 3
ABALIJJO_00842	frdB	Fumarate reductase iron-sulfur subunit
ABALIJJO_01004	msrQ_1	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
ABALIJJO_01018	erpA	Iron-sulfur cluster insertion protein ErpA
ABALIJJO_01024	cysC	putative adenylyl-sulfate kinase
ABALIJJO_01036	dsbD	Thiol:disulfide interchange protein DsbD
ABALIJJO_01111	sufS	Cysteine desulfurase SufS
ABALIJJO_01313	ideR	Iron-dependent repressor IdeR
ABALIJJO_01330	resA_1	Thiol-disulfide oxidoreductase ResA
ABALIJJO_01336	msrQ_2	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
ABALIJJO_01337	msrP_2	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ABALIJJO_01357	czcA_3	Cobalt-zinc-cadmium resistance protein CzcA
ABALIJJO_01389	paoA	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
ABALIJJO_01513	resA_2	Thiol-disulfide oxidoreductase ResA
ABALIJJO_01521	cutC	Copper homeostasis protein CutC
ABALIJJO_01526	cyaY	Iron-sulfur cluster assembly protein CyaY
ABALIJJO_01549	copA	Copper resistance protein A
ABALIJJO_01598	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
ABALIJJO_01759	msrB	Peptide methionine sulfoxide reductase MsrB
ABALIJJO_01800	chuR	Anaerobic sulfatase-maturating enzyme
ABALIJJO_02180	petC_2	Cytochrome b6-f complex iron-sulfur subunit
ABALIJJO_02279	apbC	Iron-sulfur cluster carrier protein
ABALIJJO_02290	ftsH	ATP-dependent zinc metalloprotease FtsH
ABALIJJO_02323	metY	O-acetyl-L-homoserine sulfhydrylase
ABALIJJO_02623	zupT	Zinc transporter ZupT
MJDNFOJJ_00020	MJDNFOJJ_00020	Sulfide-quinone reductase
MJDNFOJJ_00028	petA	Ubiquinol-cytochrome c reductase iron-sulfur subunit
MJDNFOJJ_00100	czcC	Cobalt-zinc-cadmium resistance protein CzcC
MJDNFOJJ_00102	czcA_1	Cobalt-zinc-cadmium resistance protein CzcA
MJDNFOJJ_00160	dsbA	Thiol:disulfide interchange protein DsbA
MJDNFOJJ_00236	czcA_2	Cobalt-zinc-cadmium resistance protein CzcA
MJDNFOJJ_00338	fieF	Ferrous-iron efflux pump FieF
MJDNFOJJ_00410	dsbB	Disulfide bond formation protein B
MJDNFOJJ_00415	iscA	Iron-binding protein IscA
MJDNFOJJ_00416	iscU	Iron-sulfur cluster assembly scaffold protein IscU
MJDNFOJJ_00417	iscS	Cysteine desulfurase IscS
MJDNFOJJ_00486	ftsH_1	ATP-dependent zinc metalloprotease FtsH
MJDNFOJJ_00497	aniA	Copper-containing nitrite reductase
MJDNFOJJ_00595	qrcC	Menaquinone reductase%2C iron-sulfur cluster-binding subunit
MJDNFOJJ_00609	MJDNFOJJ_00609	putative zinc protease
MJDNFOJJ_00610	MJDNFOJJ_00610	putative zinc protease
MJDNFOJJ_00668	MJDNFOJJ_00668	Sulfurtransferase
MJDNFOJJ_00669	tusA	Sulfur carrier protein TusA
MJDNFOJJ_00685	metZ	O-succinylhomoserine sulfhydrylase
MJDNFOJJ_00713	efeU	Ferrous iron permease EfeU
MJDNFOJJ_00926	dsbD	Thiol:disulfide interchange protein DsbD
MJDNFOJJ_01031	cysD	Sulfate adenylyltransferase subunit 2
MJDNFOJJ_01032	cysH_1	Thioredoxin-dependent 5'-adenylylsulfate reductase
MJDNFOJJ_01034	sir	Sulfite reductase [ferredoxin]
MJDNFOJJ_01117	fdhD	Sulfur carrier protein FdhD
MJDNFOJJ_01237	glpE	Thiosulfate sulfurtransferase GlpE
MJDNFOJJ_01298	resA_1	Thiol-disulfide oxidoreductase ResA
MJDNFOJJ_01363	dsbE	Thiol:disulfide interchange protein DsbE
MJDNFOJJ_01381	copA	Copper-exporting P-type ATPase
MJDNFOJJ_01583	MJDNFOJJ_01583	Iron-sulfur cluster carrier protein
MJDNFOJJ_01593	cyaY	Iron-sulfur cluster assembly protein CyaY
MJDNFOJJ_01616	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
MJDNFOJJ_01655	zupT	Zinc transporter ZupT
MJDNFOJJ_01733	erpA	Iron-sulfur cluster insertion protein ErpA
MJDNFOJJ_01747	ftsH_2	ATP-dependent zinc metalloprotease FtsH
MJDNFOJJ_01860	dsbC	putative thiol:disulfide interchange protein DsbC
MJDNFOJJ_01900	resA_2	Thiol-disulfide oxidoreductase ResA
MJDNFOJJ_01971	sdhB	Succinate dehydrogenase iron-sulfur subunit
MJDNFOJJ_02063	msrB	Peptide methionine sulfoxide reductase MsrB
MJDNFOJJ_02065	msrA	Peptide methionine sulfoxide reductase MsrA
MJDNFOJJ_02195	msrA3	Peptide methionine sulfoxide reductase MsrA 3
MJDNFOJJ_02225	MJDNFOJJ_02225	Iron-sulfur cluster carrier protein
MJDNFOJJ_02250	czcA_3	Cobalt-zinc-cadmium resistance protein CzcA
MJDNFOJJ_02360	ttcA	tRNA-cytidine(32) 2-sulfurtransferase
MJDNFOJJ_02372	czcA_4	Cobalt-zinc-cadmium resistance protein CzcA
MJDNFOJJ_02403	nirK	Copper-containing nitrite reductase
MJDNFOJJ_02502	cysH_2	Phosphoadenosine phosphosulfate reductase
MNKDINMO_00019	sauT	putative sulfoacetate--CoA ligase
MNKDINMO_00095	msrP_1	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MNKDINMO_00119	sseA	3-mercaptopyruvate sulfurtransferase
MNKDINMO_00137	sufU	Zinc-dependent sulfurtransferase SufU
MNKDINMO_00138	sufS_1	Cysteine desulfurase SufS
MNKDINMO_00234	hpsN_1	Sulfopropanediol 3-dehydrogenase
MNKDINMO_00237	chuR	Anaerobic sulfatase-maturating enzyme
MNKDINMO_00238	MNKDINMO_00238	putative sulfate transporter
MNKDINMO_00242	egtC_1	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
MNKDINMO_00339	msrP_2	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MNKDINMO_00460	MNKDINMO_00460	putative zinc-binding alcohol dehydrogenase
MNKDINMO_00473	ftsH_1	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_00498	zupT	Zinc transporter ZupT
MNKDINMO_00506	fadF_1	putative iron-sulfur-binding oxidoreductase FadF
MNKDINMO_00743	comB_1	2-phosphosulfolactate phosphatase
MNKDINMO_00778	MNKDINMO_00778	Bifunctional sulfatase/alpha-L-rhamnosidase
MNKDINMO_00896	MNKDINMO_00896	Isoxanthopterin deaminase
MNKDINMO_01044	resA_1	Thiol-disulfide oxidoreductase ResA
MNKDINMO_01086	petC_1	Cytochrome b6-f complex iron-sulfur subunit
MNKDINMO_01242	hpsN_2	Sulfopropanediol 3-dehydrogenase
MNKDINMO_01414	egtC_2	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
MNKDINMO_01441	yjmD	putative zinc-type alcohol dehydrogenase-like protein YjmD
MNKDINMO_01523	znuC	Zinc import ATP-binding protein ZnuC
MNKDINMO_01547	fadF_2	putative iron-sulfur-binding oxidoreductase FadF
MNKDINMO_01551	acsE	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
MNKDINMO_01600	fieF	Ferrous-iron efflux pump FieF
MNKDINMO_01753	sir	Sulfite reductase [ferredoxin]
MNKDINMO_01754	cysH	Phosphoadenosine phosphosulfate reductase
MNKDINMO_01755	cysD	Sulfate adenylyltransferase subunit 2
MNKDINMO_01897	MNKDINMO_01897	putative zinc protease
MNKDINMO_01926	resA_2	Thiol-disulfide oxidoreductase ResA
MNKDINMO_02008	csd	putative cysteine desulfurase
MNKDINMO_02119	comB_2	putative 2-phosphosulfolactate phosphatase
MNKDINMO_02130	tusA	Sulfur carrier protein TusA
MNKDINMO_02139	MNKDINMO_02139	Zinc-type alcohol dehydrogenase-like protein
MNKDINMO_02180	ftsH_2	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_02188	MNKDINMO_02188	Sulfurtransferase
MNKDINMO_02206	ssuD_1	Alkanesulfonate monooxygenase
MNKDINMO_02257	rip3_1	Putative zinc metalloprotease Rip3
MNKDINMO_02406	ytfE	Iron-sulfur cluster repair protein YtfE
MNKDINMO_02428	MNKDINMO_02428	putative sulfate transporter
MNKDINMO_02505	ftsH_3	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_02635	cadA	Cadmium%2C zinc and cobalt-transporting ATPase
MNKDINMO_02727	MNKDINMO_02727	Zinc-type alcohol dehydrogenase-like protein
MNKDINMO_02858	ideR	Iron-dependent repressor IdeR
MNKDINMO_02944	egtE	hercynylcysteine sulfoxide lyase
MNKDINMO_02945	fdhD	Sulfur carrier protein FdhD
MNKDINMO_03080	MNKDINMO_03080	Sulfurtransferase
MNKDINMO_03172	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB
MNKDINMO_03187	cysO_1	Sulfur carrier protein CysO
MNKDINMO_03188	msrA	Peptide methionine sulfoxide reductase MsrA
MNKDINMO_03219	sufS_2	Cysteine desulfurase
MNKDINMO_03241	dsvC	Sulfite reductase%2C dissimilatory-type subunit gamma
MNKDINMO_03242	MNKDINMO_03242	Sulfide-quinone reductase
MNKDINMO_03302	erpA	Iron-sulfur cluster insertion protein ErpA
MNKDINMO_03434	MNKDINMO_03434	putative sulfate transporter
MNKDINMO_03463	qcrA	Cytochrome bc1 complex Rieske iron-sulfur subunit
MNKDINMO_03508	ynfF	putative dimethyl sulfoxide reductase chain YnfF
MNKDINMO_03531	MNKDINMO_03531	putative zinc protease
MNKDINMO_03700	sufS_3	Cysteine desulfurase
MNKDINMO_03751	xsc	Sulfoacetaldehyde acetyltransferase
MNKDINMO_03797	betC	Choline-sulfatase
MNKDINMO_03993	cysC	Adenylyl-sulfate kinase
MNKDINMO_04029	resA_3	Thiol-disulfide oxidoreductase ResA
MNKDINMO_04037	fdnH	Formate dehydrogenase%2C nitrate-inducible%2C iron-sulfur subunit
MNKDINMO_04051	sqr	Sulfide-quinone reductase
MNKDINMO_04056	glpE_1	Thiosulfate sulfurtransferase GlpE
MNKDINMO_04066	ftsH_4	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_04141	resA_4	Thiol-disulfide oxidoreductase ResA
MNKDINMO_04146	yitD	Phosphosulfolactate synthase
MNKDINMO_04170	dddP	Dimethlysulfonioproprionate lyase DddP
MNKDINMO_04212	cysM	O-phosphoserine sulfhydrylase
MNKDINMO_04225	ssuD_2	Alkanesulfonate monooxygenase
MNKDINMO_04227	mrp	Iron-sulfur cluster carrier protein
MNKDINMO_04268	msrB	Peptide methionine sulfoxide reductase MsrB
MNKDINMO_04385	petC_2	Cytochrome b6-f complex iron-sulfur subunit
MNKDINMO_04456	czcD	Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter
MNKDINMO_04470	sseB	Putative thiosulfate sulfurtransferase SseB
MNKDINMO_04492	rip3_2	Putative zinc metalloprotease Rip3
MNKDINMO_04638	psrA	Polysulfide reductase chain A
MNKDINMO_04680	ftsH_5	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_04708	resA_5	Thiol-disulfide oxidoreductase ResA
MNKDINMO_04712	resA_6	Thiol-disulfide oxidoreductase ResA
MNKDINMO_04713	glpE_2	Thiosulfate sulfurtransferase GlpE
MNKDINMO_04714	cysO_2	Sulfur carrier protein CysO
MNKDINMO_04761	ctpV	putative copper-exporting P-type ATPase V
MNKDINMO_04762	ricR	Copper-sensing transcriptional repressor RicR
MNKDINMO_04763	copA	Copper-exporting P-type ATPase
MNKDINMO_04843	MNKDINMO_04843	putative zinc-binding alcohol dehydrogenase
MNKDINMO_04937	fadF_3	putative iron-sulfur-binding oxidoreductase FadF
MNKDINMO_05015	ftsH_6	ATP-dependent zinc metalloprotease FtsH
MNKDINMO_05026	resA_7	Thiol-disulfide oxidoreductase ResA
LGBKFNJJ_00214	msrB	Peptide methionine sulfoxide reductase MsrB
LGBKFNJJ_00218	sir	Sulfite reductase [ferredoxin]
LGBKFNJJ_00230	msrQ	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
