KO	KO_definition	sum_ko	score_avg	dNdS
K16869	octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]	8	125.47	PS
K17247	methionine sulfoxide reductase heme-binding subunit	92	71.1	PS
K17675	ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	29	131.17	PS
K17713	outer membrane protein assembly factor BamB	159	158.53	PS
K18136	TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor	2	172.3	PS
K18143	two-component system, OmpR family, sensor histidine kinase AdeS [EC:2.7.13.3]	1	296.9	PS
K18144	two-component system, OmpR family, response regulator AdeR	1	265.6	PS
K18294	TetR/AcrR family transcriptional regulator, mexCD-oprJ operon repressor	2	128.1	PS
K18301	TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor	36	170.93	PS
K18345	two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	1	346.63	PS
K18349	two-component system, OmpR family, response regulator VanR	1	294.03	PS
K18351	two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	33	293.07	PS
K18352	two-component system, OmpR family, response regulator VanR	7	327.5	PS
K18429	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]	3	458.07	PS
K18476	TetR/AcrR family transcriptional regulator, tetracycline repressor protein	65	79.93	PS
K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	91	105.8	PS
K18829	antitoxin VapB	68	37.33	PS
K18905	TetR/AcrR family transcriptional regulator, repressor of the ameABC operon	1	138.93	PS
K18940	two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]	6	355.87	PS
K18941	two-component system, OmpR family, response regulator ArlR	4	297.7	PS
K18954	AraC family transcriptional regulator, transcriptional activator of pobA	48	147.6	PS
K18955	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	265	68.8	PS
K18958	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	30	76.73	PS
K18988	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]	11	272.17	PS
K18991	AraC family transcriptional regulator, activator of mtrCDE	6	266.3	PS
K18997	chaperone modulatory protein CbpM	43	71.13	PS
K19000	Rho-binding antiterminator	6	21.77	PS
K19055	Ala-tRNA(Pro) deacylase [EC:3.1.1.-]	37	97.83	PS
K19068	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]	5	180.93	PS
K19082	two-component system, OmpR family, response regulator protein BraR/BceR	1	310.37	PS
K19124	CRISPR system Cascade subunit CasC	23	216.63	PS
K19157	mRNA interferase YafQ [EC:3.1.-.-]	28	42.27	PS
K19166	mRNA interferase HigB [EC:3.1.-.-]	56	33.17	PS
K19242	LysR family transcriptional regulator, repressor for citA	4	227.4	PS
K19333	IclR family transcriptional regulator, KDG regulon repressor	29	282.9	PS
K19335	TetR/AcrR family transcriptional regulator, repressor for divergent bdcA	1	192.57	PS
K19373	DnaJ homolog subfamily C member 28	5	88.2	PS
K19686	ribonuclease VapC [EC:3.1.-.-]	83	62.6	PS
K19687	antitoxin VapB	54	27.73	PS
K19693	AraC family transcriptional regulator, chitin signaling transcriptional activator	6	259	PS
K19736	TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness	10	169	PS
K19802	L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]	56	297.7	PS
K20084	UDP-N-acetyl-3-dehydro-alpha-D-glucosamine 3-aminotranferase [EC:2.6.1.122]	2	525.17	PS
K20329	IclR family transcriptional regulator, positive regulator for flagellar biogenesis	5	226.1	PS
K20468	putative heme transporter	95	169.8	PS
K20469	putative heme transporter	50	206.47	PS
K20470	trehalose monomycolate/heme transporter	1	768.4	PS
K20487	two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]	1	299.07	PS
K20488	two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR	1	263.13	PS
K20539	IclR family transcriptional regulator, blcABC operon repressor	1	237.63	PS
K20798	small RNA 2'-O-methyltransferase [EC:2.1.1.386]	17	96.3	PS
K20968	AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA	1	145.03	PS
K21303	UDP-GalNAc:undecaprenyl-phosphate GalNAc-1-phosphate transferase [EC:2.7.8.40]	1	350.2	PS
K21469	serine-type D-Ala-D-Ala carboxypeptidase [EC:3.4.16.4]	1	471.07	PS
K21480	heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]	1	246.6	PS
K21481	heme oxygenase (mycobilin-producing) [EC:1.14.99.57]	32	86.5	PS
K21602	IclR family transcriptional regulator, carbohydrate utilization repressor	1	289.03	PS
K21603	two-component system, OmpR family, flagellar system response regulator FtcR	2	290.3	PS
K21782	L-prolyl-PCP dehydrogenase [EC:1.3.8.14]	1	504.1	PS
K21826	AraC family transcriptional regulator, glycine betaine-responsive activator	7	437.07	PS
K21961	TetR/AcrR family transcriptional regulator, ethionamide resistance regulator	25	115.57	PS
K21962	TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase	3	143.97	PS
K22010	two-component system, response regulator PdtaR	85	137.77	PS
K22041	TetR/AcrR family transcriptional regulator, copper-responsive repressor	10	192.17	PS
K22105	TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator	10	82.67	PS
K22106	TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon	4	147.93	PS
K22107	TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator	24	102.5	PS
K22108	TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator	94	144.57	PS
K22227	AdoMet-dependent heme synthase [EC:1.3.98.6]	75	364.77	PS
K22295	TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase	2	109.27	PS
K22297	Fur family transcriptional regulator, stress-responsive regulator	45	135.83	PS
K22486	transcriptional regulator HilA, main transcriptional regulator of SPI1	3	216.57	PS
K22622	S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	19	145.93	PS
K22843	ETFB lysine methyltransferase [EC:2.1.1.-]	26	109.13	PS
K23169	UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase [EC:6.3.2.53]	11	403.3	PS
K23170	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase [EC:5.1.1.23]	19	317.87	PS
K23238	RpiR family transcriptional regulator, repressor of rpiB and als operon	1	310.37	PS
K23264	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]	161	38.77	PS
K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	187	211.23	PS
K23269	phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	147	728.3	PS
K23514	RNA polymerase sigma-19 factor, ECF subfamily	14	136.87	PS
K23777	TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity	12	130.37	PS
K23778	TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	8	111.5	PS
K24073	RNA polymerase sigma factor CnrH	6	188.83	PS
K24258	UDP-N-acetyl-L-fucosamine synthase [EC:5.1.3.28]	2	595.2	PS
K24300	UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]	13	737.27	PS
K24310	UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase [EC:1.1.1.426]	18	326.23	PS
K24699	TetR/AcrR family transcriptional regulator, regulator of mycofactocin system	67	98.73	PS
K24867	dihydro-heme d1 dehydrogenase	1	458	PS
K24868	heme d1 biosynthesis protein	1	471.2	PS
K25132	heme transport system substrate-binding protein	4	230.67	PS
K25133	heme transport system permease protein	4	383.83	PS
K25495	AraC family transcriptional regulator, regulator of nimT	1	260.57	PS
K27000	RNA polymerase sigma-H factor	40	106.3	PS
