rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_33066_length_2065_cov_1002.815920	1	2065	16	79	3.82567	0.153995	35.9	33.2
NODE_33198_length_2055_cov_1241.624000	1	2055	8	230	11.1922	0.132847	35.8	21.4
NODE_33240_length_2052_cov_1068.819730	1	2052	6	64	3.11891	0.0618908	35.8	32.7
NODE_33370_length_2044_cov_974.211161	1	2044	40	117	5.72407	0.463796	35.9	15.4
NODE_33416_length_2041_cov_1390.832326	1	2041	19	217	10.632	0.243508	36	4
NODE_34962_length_1940_cov_1225.113528	1	1940	2	76	3.91753	0.0391753	36.4	38
NODE_35000_length_1938_cov_951.568242	1	1938	4	20	1.03199	0.0407637	35.4	24.5
NODE_35159_length_1928_cov_1485.334757	1	1928	8	62	3.21577	0.0840249	36.8	2.25
NODE_35753_length_1893_cov_1218.490751	1	1893	9	64	3.38088	0.129424	36.8	35.6
NODE_36290_length_1863_cov_1137.287058	1	1863	2	19	1.01986	0.0203972	34.7	0
NODE_36428_length_1855_cov_1303.681111	1	1855	6	307	16.5499	0.187601	36.9	20.8
NODE_37137_length_1817_cov_1177.137911	1	1817	9	84	4.623	0.102917	35.9	4.78
NODE_37321_length_1808_cov_1200.037650	1	1808	37	345	19.0819	0.762168	36.6	34.9
NODE_38114_length_1766_cov_1438.233197	1	1766	7	38	2.15176	0.0753114	36.2	0
NODE_39022_length_1722_cov_1338.303539	1	1722	8	352	20.4413	0.246806	36.4	18.5
NODE_40324_length_1661_cov_1132.006849	1	1661	24	101	6.08067	0.297411	36.1	10.8
NODE_41390_length_1616_cov_1401.226137	1	1616	17	128	7.92079	0.366337	35.3	19
NODE_42536_length_1567_cov_1361.873016	1	1567	6	91	5.80728	0.0835992	34.8	15
NODE_42537_length_1567_cov_1103.420635	1	1567	14	115	7.33886	0.221442	36.6	43.6
NODE_42968_length_1548_cov_1489.086403	1	1548	12	165	10.6589	0.212532	35.7	20.2
NODE_43196_length_1539_cov_1152.513477	1	1539	3	57	3.7037	0.0526316	34.5	0
NODE_43961_length_1510_cov_1369.863918	1	1510	2	19	1.25828	0.0251656	37	0
NODE_44197_length_1502_cov_1219.523151	1	1502	2	21	1.39814	0.0279627	36.4	0
NODE_20_length_226534_cov_28.780337	1	226534	30068	226223	99.8627	19.5606	35.7	0.57
NODE_22_length_223203_cov_25.679199	1	223203	41333	222611	99.7348	27.2549	35.7	53.4
NODE_30_length_200082_cov_26.422103	1	200082	41292	199973	99.9455	30.3322	35.7	59.1
NODE_69_length_155043_cov_26.129823	1	155043	32300	154945	99.9368	30.3328	35.7	58.8
NODE_94_length_140405_cov_29.010324	1	140405	21788	140194	99.8497	22.7958	35.7	21.4
NODE_141_length_120050_cov_25.176999	1	120050	25036	119760	99.7584	30.0077	35.7	57.1
NODE_163_length_113574_cov_25.416935	1	113574	18408	113475	99.9128	23.7296	35.7	40.2
NODE_171_length_112244_cov_29.015723	1	112244	16135	112145	99.9118	21.2102	35.6	13.9
NODE_175_length_111784_cov_26.478264	1	111784	23168	111591	99.8273	30.3847	35.7	58.9
NODE_196_length_105511_cov_28.412011	1	105511	23462	105414	99.9081	32.6084	35.7	59.1
NODE_247_length_95045_cov_24.895105	1	95045	18672	94968	99.919	28.713	35.7	59
NODE_265_length_91600_cov_25.143460	1	91600	17837	91600	100	28.5658	35.7	59.3
NODE_318_length_84232_cov_23.286729	1	84232	15997	84135	99.8848	27.1798	35.7	58
NODE_350_length_81120_cov_26.534546	1	81120	16740	80828	99.64	30.3268	35.7	59.2
NODE_413_length_75003_cov_28.887335	1	75003	16923	74903	99.8667	33.1568	35.7	59.1
NODE_507_length_67431_cov_26.821405	1	67431	13945	67431	100	30.5327	35.7	59.3
NODE_520_length_66591_cov_25.209526	1	66591	10222	66393	99.7027	22.5757	35.7	35.9
NODE_540_length_65618_cov_25.976679	1	65618	9138	65536	99.875	20.3356	35.6	21
NODE_548_length_65198_cov_24.687748	1	65198	12638	65098	99.8466	28.3437	35.7	58.7
NODE_636_length_60835_cov_28.944406	1	60835	13677	60835	100	33.2524	35.8	59.4
NODE_677_length_59104_cov_26.007892	1	59104	11937	59008	99.8376	29.7646	35.8	59.3
NODE_710_length_57303_cov_27.789722	1	57303	12311	57207	99.8325	31.8429	35.8	59.6
NODE_832_length_51822_cov_27.790677	1	51822	11352	51723	99.809	31.9089	35.7	58.8
NODE_850_length_51016_cov_28.480289	1	51016	11262	50920	99.8118	32.1709	35.7	57.6
NODE_970_length_47155_cov_25.229554	1	47155	8881	46961	99.5886	27.4161	35.7	57.8
NODE_1002_length_46306_cov_28.328858	1	46306	10153	46306	100	32.4275	35.7	59.4
NODE_1037_length_45036_cov_27.934839	1	45036	26217	45036	100	67.722	35.8	46.4
NODE_1049_length_44818_cov_28.473583	1	44818	9971	44818	100	32.6277	35.7	59.1
NODE_1106_length_43425_cov_27.423104	1	43425	9254	43425	100	31.1348	35.8	58.8
NODE_1289_length_39255_cov_27.767781	1	39255	9232	39255	100	32.8106	35.7	56.3
NODE_1344_length_38006_cov_25.200653	1	38006	7405	38006	100	28.7217	35.7	59.3
NODE_1395_length_37078_cov_27.197337	1	37078	9032	37078	100	33.6227	35.7	55.2
NODE_1466_length_35617_cov_19.055846	1	35617	6894	35617	100	24.5943	35.7	54.6
NODE_1794_length_31403_cov_28.831983	1	31403	7107	31403	100	33.2538	35.7	59
NODE_1846_length_30797_cov_24.644363	1	30797	6010	30797	100	28.696	35.7	59.2
NODE_1961_length_29368_cov_26.733088	1	29368	6270	29367	99.9966	30.9256	35.8	58.1
NODE_2003_length_28882_cov_35.643320	1	28882	7757	28882	100	34.3887	35.6	45.3
NODE_2042_length_28476_cov_101.056332	1	28476	33275	28476	100	159.975	35.9	54.8
NODE_2094_length_28041_cov_29.347102	1	28041	6388	28041	100	33.5532	35.8	59.2
NODE_2131_length_27766_cov_19.853307	1	27766	4529	27766	100	23.3372	35.8	58.3
NODE_2191_length_27200_cov_8.234076	1	27200	1900	27200	100	9.74066	35.7	56.4
NODE_2208_length_27039_cov_26.061370	1	27039	5534	27039	100	30.0635	35.7	59.1
NODE_2229_length_26816_cov_27.933037	1	26816	6226	26619	99.2654	32.8759	35.7	58.1
NODE_2609_length_23899_cov_27.063622	1	23899	5073	23899	100	31.3855	35.8	59.5
NODE_2725_length_23145_cov_28.800433	1	23145	2906	23024	99.4772	18.5166	35.7	0
NODE_3297_length_19789_cov_25.937924	1	19789	4019	19789	100	29.8106	35.6	59.4
NODE_3511_length_18886_cov_29.128565	1	18886	4253	18886	100	33.1305	35.7	58.8
NODE_3567_length_18648_cov_28.937396	1	18648	4572	18472	99.0562	34.0623	35.6	56.6
NODE_3652_length_18301_cov_7.163817	1	18301	1165	18301	100	9.03016	35.8	58
NODE_3656_length_18291_cov_28.911713	1	18291	4136	18291	100	33.2716	35.8	59.1
NODE_4030_length_16880_cov_26.628351	1	16880	3640	16782	99.4194	31.4252	35.8	59.3
NODE_4294_length_15961_cov_6.176223	1	15961	884	15961	100	7.75083	35.7	58.5
NODE_4376_length_15676_cov_41.641508	1	15676	6014	15676	100	55.6541	35.8	59.4
NODE_4551_length_15198_cov_11.649409	1	15198	2913	15198	100	22.2617	35.9	52.6
NODE_4615_length_15036_cov_6.368734	1	15036	1009	15036	100	8.97247	35.9	57.4
NODE_4710_length_14731_cov_77.345530	1	14731	12353	14731	100	108.109	35.8	59.2
NODE_5246_length_13404_cov_34.243689	1	13404	7542	13404	100	73.4929	35.8	53.8
NODE_5567_length_12697_cov_18.553710	1	12697	1788	12697	100	20.8574	35.7	59.6
NODE_5594_length_12663_cov_6.098905	1	12663	648	12663	100	7.42739	35.7	59.4
NODE_5850_length_12139_cov_10.503476	1	12139	17180	12139	100	152.262	36	55.6
NODE_6006_length_11837_cov_30.528179	1	11837	2784	11837	100	34.6166	35.9	59.5
NODE_6079_length_11673_cov_17.949217	1	11673	3120	11673	100	34.0758	35.9	55.5
NODE_6812_length_10423_cov_177.506173	1	10423	17532	10423	100	228.769	35.8	57.5
NODE_6837_length_10380_cov_22.401162	1	10380	2104	10308	99.3064	27.9051	35.7	57.6
NODE_6931_length_10219_cov_25.628591	1	10219	2022	10219	100	29.1657	35.6	59.4
NODE_7115_length_9937_cov_23.381502	1	9937	1832	9840	99.0239	26.5044	35.7	57.7
NODE_7499_length_9402_cov_30.600834	1	9402	4093	9402	100	50.8758	35.7	52.8
NODE_7627_length_9227_cov_29.043938	1	9227	3423	9227	100	44.3679	36	54
NODE_7935_length_8840_cov_24.576779	1	8840	1664	8840	100	27.948	35.9	59.7
NODE_8030_length_8721_cov_191.425571	1	8721	15401	8721	100	236.33	35.9	54.6
NODE_8197_length_8522_cov_158.407228	1	8522	9818	8522	100	166.783	35.7	52.3
NODE_8303_length_8409_cov_5.198468	1	8409	870	8409	100	10.743	36.1	47.7
NODE_8436_length_8259_cov_6.278766	1	8259	462	8259	100	7.7335	35.9	58.9
NODE_8546_length_8137_cov_25.017694	1	8137	1601	8137	100	28.6542	35.7	58.7
NODE_9599_length_7099_cov_25.711386	1	7099	1495	7099	100	30.7236	35.8	59.4
NODE_9989_length_6789_cov_336.634690	1	6789	20912	6789	100	425.943	35.8	58.8
NODE_10065_length_6728_cov_83.515810	1	6728	4594	6728	100	97.5473	35.6	59.6
NODE_10070_length_6725_cov_8.805247	1	6725	10286	6725	100	142.703	36.1	53.1
NODE_10272_length_6576_cov_124.120687	1	6576	13489	6576	100	263.098	35.6	44.5
NODE_10423_length_6477_cov_27.496730	1	6477	1443	6378	98.4715	31.9688	35.7	59.2
NODE_10937_length_6111_cov_65.942206	1	6111	4236	6111	100	84.6429	35.7	52.9
NODE_11057_length_6038_cov_122.802942	1	6038	8757	6038	100	187.291	35.9	57.1
NODE_11394_length_5823_cov_15.205617	1	5823	854	5823	100	18.718	35.7	56.6
NODE_11593_length_5702_cov_26.759872	1	5702	1250	5702	100	30.4079	35.8	54.6
NODE_11992_length_5484_cov_6.272794	1	5484	357	5484	100	7.91904	35.9	55.6
NODE_12087_length_5439_cov_10.002600	1	5439	1291	5439	100	20.9327	35.9	58.5
NODE_13044_length_4987_cov_371.672749	1	4987	13211	4987	100	385.652	35.7	57.4
NODE_13180_length_4932_cov_4.836990	1	4932	183	4932	100	5.43086	35.9	59.4
NODE_13604_length_4755_cov_10.781702	1	4755	1212	4755	100	21.3912	35.8	44
NODE_13731_length_4700_cov_19.361033	1	4700	2606	4700	100	67.2781	35.9	56.6
NODE_14041_length_4583_cov_33.140459	1	4583	1703	4583	100	50.6072	35.8	56.1
NODE_14094_length_4565_cov_27.550776	1	4565	1561	4565	100	40.7851	35.7	54.5
NODE_14397_length_4450_cov_17.848919	1	4450	871	4450	100	25.9515	35.7	58.9
NODE_14545_length_4397_cov_4.117688	1	4397	172	4397	100	5.32954	35.6	57.9
NODE_14656_length_4358_cov_20.380200	1	4358	690	4358	100	22.7065	35.8	59.3
NODE_15369_length_4141_cov_191.732012	1	4141	9090	4046	97.7059	253.457	35.9	50.4
NODE_15419_length_4130_cov_3.225767	1	4130	110	4130	100	3.71162	36	58.1
NODE_15648_length_4062_cov_5.362116	1	4062	175	4062	100	6.01477	35.8	58
NODE_15919_length_3995_cov_399.806853	1	3995	12844	3995	100	474.281	35.9	59.9
NODE_16126_length_3938_cov_3.901107	1	3938	121	3938	100	4.40934	36.1	59
NODE_16134_length_3937_cov_6.279495	1	3937	430	3937	100	13.2029	35.8	57.1
NODE_16334_length_3888_cov_3.564049	1	3888	193	3879	99.7685	5.5535	35.9	59.4
NODE_16423_length_3865_cov_6.121260	1	3865	224	3821	98.8616	7.5969	35.6	55.9
NODE_16453_length_3858_cov_5.397055	1	3858	162	3858	100	6.2872	35.5	60
NODE_16577_length_3828_cov_4.649881	1	3828	152	3828	100	5.27874	36.1	56.8
NODE_16693_length_3795_cov_21.625134	1	3795	829	3795	100	30.6108	35.9	57.7
NODE_16949_length_3737_cov_200.996741	1	3737	18424	3737	100	649.031	35.8	58.3
NODE_17046_length_3721_cov_35.322422	1	3721	804	3719	99.9463	31.4948	35.7	40.5
NODE_17168_length_3690_cov_140.115268	1	3690	3872	3690	100	152.209	35.7	58
NODE_17191_length_3686_cov_4.889838	1	3686	161	3686	100	5.92973	35.7	58.2
NODE_17298_length_3661_cov_19.002773	1	3661	1383	3661	100	43.1598	35.8	36.6
NODE_17463_length_3625_cov_8.337815	1	3625	3008	3625	100	71.2546	35.9	55
NODE_17945_length_3521_cov_634.186382	1	3521	17787	3521	100	728.044	35.5	59.5
NODE_18105_length_3492_cov_3.743672	1	3492	124	3492	100	4.96105	36.1	56.8
NODE_18505_length_3415_cov_3.098810	1	3415	107	3415	100	4.00937	36	51.2
NODE_18529_length_3409_cov_207.584973	1	3409	17390	3409	100	639.951	35.9	58
NODE_18570_length_3403_cov_4.755675	1	3403	135	3403	100	5.77079	35.3	58.5
NODE_18674_length_3384_cov_85.972364	1	3384	2278	3384	100	97.8679	35.8	59.4
NODE_18930_length_3341_cov_50.000913	1	3341	1305	3341	100	56.9605	35.7	58.9
NODE_19255_length_3286_cov_3.687403	1	3286	86	3286	100	3.64121	35.5	58.4
NODE_19378_length_3267_cov_5.982254	1	3267	240	3267	100	8.94062	35.8	55.4
NODE_19714_length_3214_cov_4.092751	1	3214	207	3214	100	6.40106	36	54.3
NODE_20101_length_3151_cov_25.703165	1	3151	780	3151	100	35.3869	35.7	54
NODE_20150_length_3145_cov_5.394175	1	3145	1016	3145	100	32.325	35.9	57.7
NODE_20392_length_3111_cov_28.019634	1	3111	706	3111	100	32.9425	35.6	58.9
NODE_20565_length_3088_cov_6.287834	1	3088	297	3088	100	12.1613	35.9	58.3
NODE_20594_length_3083_cov_57.703435	1	3083	2640	3083	100	99.0996	35.9	58.6
NODE_20660_length_3072_cov_3.167716	1	3072	476	3051	99.3164	8.41146	35.5	42.9
NODE_21108_length_3011_cov_3.774019	1	3011	85	3011	100	4.10362	36	58.4
NODE_21710_length_2933_cov_26.815497	1	2933	667	2933	100	32.5544	35.9	58.9
NODE_21723_length_2931_cov_188.775730	1	2931	5657	2931	100	250.282	35.9	46.6
NODE_21825_length_2919_cov_195.690642	1	2919	7936	2919	100	355.674	35.8	57.5
NODE_22008_length_2898_cov_3.380584	1	2898	81	2898	100	4.14044	35.6	60
NODE_22011_length_2897_cov_33.091485	1	2897	738	2723	93.9938	37.8171	35.7	59.4
NODE_22670_length_2825_cov_261.821661	1	2825	18668	2825	100	929.567	35.9	59.5
NODE_22808_length_2809_cov_45.044299	1	2809	1081	2809	100	53.036	35.7	57.4
NODE_22977_length_2789_cov_5.250183	1	2789	145	2789	100	7.32198	35.6	58.5
NODE_23115_length_2772_cov_21.321310	1	2772	618	2772	100	29.7388	35.8	56.7
NODE_23249_length_2758_cov_15.245283	1	2758	696	2758	100	36.781	35.9	50.5
NODE_23466_length_2733_cov_14.978715	1	2733	4439	2733	100	193.28	36	58.4
NODE_23694_length_2710_cov_3.575518	1	2710	73	2710	100	3.94539	36	59.8
NODE_23736_length_2706_cov_3.698982	1	2706	75	2706	100	4.07724	36	60
NODE_24338_length_2646_cov_2.497491	1	2646	58	2646	100	3.12283	35.7	59.3
NODE_24448_length_2632_cov_142.489717	1	2632	2963	2632	100	161.144	35.8	59.1
NODE_24654_length_2613_cov_9.580532	1	2613	256	2613	100	12.2717	36	53.1
NODE_25321_length_2548_cov_14.500201	1	2548	10288	2548	100	382.671	36	53.7
NODE_25437_length_2538_cov_3.750705	1	2538	68	2528	99.606	3.91568	36	59.4
NODE_25442_length_2537_cov_77.265512	1	2537	2933	2537	100	102.574	35.6	40.3
NODE_25497_length_2533_cov_2.612187	1	2533	70	2533	100	3.47098	35.6	56.5
NODE_25520_length_2530_cov_4.144242	1	2530	90	2530	100	4.50791	35.8	55.8
NODE_26025_length_2486_cov_74.384204	1	2486	2476	2486	100	119.501	35.7	58.7
NODE_26030_length_2486_cov_4.682435	1	2486	114	2486	100	5.66854	35.3	56.4
NODE_26928_length_2404_cov_3.801618	1	2404	66	2404	100	4.01165	36.3	59.2
NODE_26978_length_2400_cov_30.399574	1	2400	685	2400	100	36.3133	35.9	57.8
NODE_27359_length_2369_cov_4.572169	1	2369	134	2369	100	5.24863	36.3	49.2
NODE_27528_length_2356_cov_5.242938	1	2356	102	2356	100	6.28353	36.1	58.9
NODE_27825_length_2334_cov_10.549364	1	2334	449	2334	100	21.3762	35.9	44.7
NODE_27860_length_2332_cov_3.639438	1	2332	74	2332	100	4.58148	35.3	58.5
NODE_27912_length_2326_cov_22.942316	1	2326	447	2326	100	26.1647	35.7	57.4
NODE_27966_length_2322_cov_4.259815	1	2322	82	2322	100	5.13394	35.8	59.2
NODE_28635_length_2272_cov_5.641407	1	2272	82	2272	100	5.29005	35.8	59.5
NODE_28776_length_2262_cov_26.917988	1	2262	715	2262	100	38.0186	35.8	56
NODE_29038_length_2243_cov_4.207038	1	2243	66	2243	100	4.41373	36.1	60
NODE_29046_length_2242_cov_13.154092	1	2242	3677	2242	100	199.682	35.8	58.9
NODE_29330_length_2223_cov_105.245849	1	2223	1868	2223	100	120.369	35.8	59.6
NODE_29517_length_2209_cov_109.788301	1	2209	1449	2209	100	89.129	35.8	47
NODE_29604_length_2204_cov_3.079107	1	2204	64	2194	99.5463	4.19056	35.4	59.4
NODE_29859_length_2186_cov_24.791647	1	2186	435	2186	100	28.2676	35.5	59.6
NODE_30033_length_2175_cov_13.839151	1	2175	271	2175	100	16.5807	35.6	56.8
NODE_30081_length_2173_cov_2.889518	1	2173	198	2173	100	5.59963	36	53.6
NODE_30164_length_2168_cov_16.041174	1	2168	946	2168	100	48.3335	35.8	58.6
NODE_30622_length_2140_cov_25.802878	1	2140	571	2140	100	36.5458	35.8	58
NODE_30747_length_2133_cov_2.265159	1	2133	42	2133	100	2.91374	35.4	58.9
NODE_31094_length_2110_cov_3.097324	1	2110	59	2110	100	3.7	35.7	56
NODE_31266_length_2099_cov_3.857632	1	2099	64	2099	100	4.47546	36	59.6
NODE_31931_length_2060_cov_92.765087	1	2060	2093	2060	100	121.883	35.8	56.3
NODE_32263_length_2043_cov_26.190644	1	2043	444	2043	100	30.9295	35.9	59.5
NODE_32364_length_2037_cov_18.373360	1	2037	293	2037	100	20.8591	35.8	59.5
NODE_32712_length_2017_cov_19.217125	1	2017	485	2017	100	28.1666	35.8	47.8
NODE_32925_length_2005_cov_4.043590	1	2005	68	2005	100	4.68579	35.8	57.9
NODE_33059_length_1997_cov_39.268795	1	1997	928	1997	100	51.979	35.9	53.1
NODE_33084_length_1996_cov_3.488408	1	1996	119	1996	100	5.6513	35.4	54.9
NODE_33159_length_1991_cov_29.759814	1	1991	954	1991	100	50.329	35.6	51.9
NODE_33701_length_1962_cov_5.958574	1	1962	142	1962	100	9.30326	35.6	59.1
NODE_33852_length_1953_cov_8.624341	1	1953	184	1953	100	11.5443	36	58.3
NODE_33965_length_1947_cov_9.865222	1	1947	180	1947	100	12.3015	35.8	59.8
NODE_34002_length_1945_cov_4.722222	1	1945	68	1945	100	5.10694	35.8	59.4
NODE_34084_length_1941_cov_3.188229	1	1941	51	1931	99.4848	3.94127	35.8	60
NODE_34484_length_1921_cov_64.747588	1	1921	6232	1913	99.5836	279.989	35.7	56.5
NODE_34716_length_1911_cov_173.565194	1	1911	2363	1911	100	178.09	35.8	51.1
NODE_34734_length_1910_cov_329.258760	1	1910	4805	1910	100	356.714	35.8	59.7
NODE_34797_length_1907_cov_199.410367	1	1907	6585	1907	100	424.232	35.9	54.9
NODE_34869_length_1903_cov_27.372294	1	1903	357	1903	100	27.4398	35.6	56.1
NODE_35019_length_1896_cov_3.922325	1	1896	64	1896	100	4.70253	35.3	60
NODE_35038_length_1895_cov_4.483152	1	1895	65	1895	100	4.8285	35.6	59
NODE_35270_length_1882_cov_4.834702	1	1882	141	1882	100	8.8932	35.8	52.3
NODE_35292_length_1881_cov_5.139102	1	1881	514	1881	100	32.3259	35.9	55.3
NODE_35502_length_1871_cov_191.590308	1	1871	2896	1871	100	221.594	35.4	59.3
NODE_35948_length_1850_cov_17.089136	1	1850	458	1850	100	27.9	35.7	57.8
NODE_35983_length_1848_cov_196.417178	1	1848	1444	1848	100	110.828	35.8	0.166
NODE_36771_length_1814_cov_182.974417	1	1814	2649	1814	100	205.837	35.6	59.6
NODE_36857_length_1810_cov_11.613675	1	1810	172	1803	99.6133	13.8856	36	58.6
NODE_36968_length_1806_cov_3.432324	1	1806	908	1791	99.1694	38.0897	36.1	57.4
NODE_37249_length_1793_cov_60.216916	1	1793	1148	1793	100	75.9225	35.8	58.5
NODE_37549_length_1782_cov_2.461494	1	1782	40	1782	100	3.07295	35.6	54
NODE_37879_length_1768_cov_2.863981	1	1768	48	1758	99.4344	3.20645	36.2	55.5
NODE_37938_length_1765_cov_5.663158	1	1765	107	1765	100	7.72068	35.4	59.4
NODE_37955_length_1765_cov_2.604094	1	1765	43	1765	100	3.35864	36	58.1
NODE_38505_length_1742_cov_10.222288	1	1742	2282	1742	100	172.909	36	50.6
NODE_38525_length_1742_cov_3.096621	1	1742	43	1742	100	3.70264	36	60
NODE_38559_length_1740_cov_24.216024	1	1740	376	1740	100	29.4052	35.6	59.4
NODE_38699_length_1734_cov_10.382966	1	1734	425	1734	100	18.9839	35.9	20.6
NODE_38784_length_1731_cov_16.202267	1	1731	2203	1731	100	163.077	35.8	58
NODE_38980_length_1723_cov_60.839928	1	1723	506	1723	100	40.679	35.1	0
NODE_39410_length_1706_cov_12.897032	1	1706	1348	1703	99.8242	112.741	35.1	54
NODE_39954_length_1685_cov_10.822699	1	1685	187	1685	100	14.7418	35.7	58.5
NODE_39981_length_1684_cov_158.534070	1	1684	3950	1684	100	299.172	35.7	59.6
NODE_40077_length_1681_cov_5.934809	1	1681	116	1681	100	9.21297	35.6	59.6
NODE_40500_length_1665_cov_6.143478	1	1665	253	1665	100	15.3772	36.2	56.9
NODE_41083_length_1644_cov_26.480176	1	1644	322	1644	100	28.8005	36	58.9
NODE_41673_length_1624_cov_4.506055	1	1624	5387	1624	100	287.007	36.2	47
NODE_42613_length_1591_cov_985.468099	1	1591	11809	1591	100	1073.26	35.8	59.5
NODE_42652_length_1590_cov_3.740065	1	1590	43	1580	99.3711	3.89182	35.5	57.2
NODE_42772_length_1586_cov_2.664272	1	1586	397	1586	100	23.3701	36	55.8
NODE_42803_length_1584_cov_204.250491	1	1584	4372	1584	100	281.836	35.8	58.3
NODE_43127_length_1573_cov_54.677866	1	1573	630	1573	100	58.815	35.8	59.4
NODE_43215_length_1571_cov_3.608179	1	1571	85	1571	100	5.77594	36.1	53.9
NODE_43435_length_1564_cov_3.581842	1	1564	44	1564	100	3.76535	35.6	57.3
NODE_43518_length_1562_cov_2.912409	1	1562	36	1562	100	3.43726	35.4	60
NODE_43590_length_1560_cov_3.467110	1	1560	76	1560	100	4.57372	35.5	51.6
NODE_43620_length_1559_cov_3.783910	1	1559	42	1559	100	4.04105	35.8	60
NODE_43638_length_1558_cov_40.040585	1	1558	459	1558	100	42.518	35.9	58.4
NODE_44129_length_1543_cov_4.329973	1	1543	62	1543	100	6.00518	35.5	60
NODE_44234_length_1539_cov_8.874663	1	1539	151	1539	100	12.5601	36	59.7
NODE_44498_length_1531_cov_32.634824	1	1531	1867	1531	100	138.483	35.9	48.2
NODE_44887_length_1521_cov_2.759891	1	1521	30	1521	100	2.95858	36	60
NODE_44977_length_1518_cov_4.371839	1	1518	43	1490	98.1555	4.24769	35.4	60
NODE_45005_length_1517_cov_12.432969	1	1517	311	1517	100	23.0639	35.5	47.4
NODE_45114_length_1514_cov_16.954078	1	1514	492	1514	100	26.1499	35.9	44
NODE_45216_length_1511_cov_4.157967	1	1511	66	1511	100	5.54136	36.2	55.3
NODE_45270_length_1509_cov_88.542641	1	1509	1245	1509	100	105.748	35.7	53.4
NODE_7_length_322659_cov_72.946430	1	322659	852	4946	1.53289	0.0808687	36	24.7
NODE_11_length_298326_cov_74.054075	1	298326	12669	7987	2.67727	2.28848	35.9	32.5
NODE_12_length_293224_cov_77.304551	1	293224	1739	7617	2.59767	0.245512	35.9	28.2
NODE_21_length_237037_cov_68.953068	1	237037	943	4394	1.85372	0.158089	36	29.1
NODE_29_length_229163_cov_75.754347	1	229163	893	4510	1.96803	0.150984	36.1	25.4
NODE_34_length_218844_cov_78.019174	1	218844	1603	5472	2.50041	0.372736	36	42.8
NODE_125_length_135305_cov_70.849878	1	135305	2508	5078	3.753	0.675474	35.2	11.1
NODE_203_length_109024_cov_75.598510	1	109024	315	2730	2.50404	0.0781938	35.9	27.7
NODE_318_length_88941_cov_71.762842	1	88941	272	1819	2.04518	0.0704624	36.1	21.3
NODE_328_length_87807_cov_86.787310	1	87807	214	1268	1.44408	0.0683203	35.9	24.6
NODE_400_length_79958_cov_73.449082	1	79958	10676	7189	8.99097	9.67599	35.8	33.1
NODE_436_length_76528_cov_69.793273	1	76528	222	984	1.2858	0.0722481	36.1	29.5
NODE_486_length_71487_cov_76.511017	1	71487	175	1138	1.5919	0.058724	36.1	21.2
NODE_854_length_51848_cov_77.192922	1	51848	97	1952	3.76485	0.140738	35.8	43.4
NODE_1334_length_38616_cov_77.936101	1	38616	72	646	1.67288	0.0454734	36.2	25.4
NODE_1999_length_28842_cov_73.647480	1	28842	138	1118	3.87629	0.139727	35.8	21.8
NODE_3354_length_18807_cov_73.661956	1	18807	91	974	5.17892	0.248897	36.2	24.3
NODE_41259_length_1576_cov_202.346483	1	1576	49	908	57.6142	2.97272	36.1	55.6
NODE_504_length_31916_cov_6.710022	1	31916	8	78	0.244392	0.00488783	36.3	30.8
NODE_550_length_29706_cov_6.571650	1	29706	71	212	0.713661	0.0456137	36.2	31.4
NODE_556_length_29530_cov_6.579576	1	29530	55	157	0.531663	0.0416526	35.4	38.2
NODE_558_length_29360_cov_6.354376	1	29360	124	298	1.01499	0.166689	35.8	27.9
NODE_621_length_26338_cov_7.325800	1	26338	70	218	0.827701	0.0516364	35.9	30.9
NODE_653_length_25203_cov_6.714450	1	25203	16	118	0.468198	0.0124985	35.3	17.6
NODE_657_length_25059_cov_7.194529	1	25059	8	62	0.247416	0.00638493	36.1	22.2
NODE_658_length_25031_cov_6.856863	1	25031	33	252	1.00675	0.0315209	35.8	32
NODE_703_length_23734_cov_6.420541	1	23734	40	174	0.733125	0.0322744	36.2	34.9
NODE_718_length_23417_cov_6.285506	1	23417	8	77	0.328821	0.00657642	36.3	31.8
NODE_728_length_23051_cov_7.077535	1	23051	15	100	0.433821	0.0132315	35.3	35.9
NODE_733_length_22955_cov_6.641878	1	22955	22	98	0.426922	0.018863	35.3	40.1
NODE_767_length_21906_cov_6.780285	1	21906	12	95	0.433671	0.0104081	35.9	26
NODE_784_length_21512_cov_6.842615	1	21512	13	147	0.68334	0.0126441	35.1	35.4
NODE_825_length_20741_cov_7.081069	1	20741	60	144	0.694277	0.0572779	36	27
NODE_853_length_20028_cov_6.808642	1	20028	18	157	0.783903	0.0193229	35.3	40.4
NODE_860_length_19949_cov_7.338393	1	19949	47	160	0.802045	0.0460173	35.4	41.2
NODE_866_length_19888_cov_6.395906	1	19888	18	103	0.5179	0.0182522	36	46
NODE_882_length_19669_cov_6.379576	1	19669	6	60	0.305049	0.00610097	36.3	37.7
NODE_887_length_19608_cov_6.450417	1	19608	12	95	0.484496	0.0116279	36.3	40
NODE_901_length_19390_cov_8.423636	1	19390	91	197	1.01599	0.0936565	36	36.3
NODE_1067_length_16886_cov_7.045511	1	16886	4	39	0.230961	0.00461921	36.4	20
NODE_1079_length_16742_cov_6.563193	1	16742	4	38	0.226974	0.00453948	35.5	20
NODE_1084_length_16697_cov_7.811261	1	16697	10	99	0.592921	0.0117985	35.8	36.2
