user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SPAdes-MaxBin2Refined-S17.096_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	taxonomic novelty determined using RED			65.95	11	0.9086435651751956	
SPAdes-MaxBin2Refined-S17.099_sub	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__						GCA_002404095.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__UBA4732;s__UBA4732 sp002404095	76.36	0.13	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__	taxonomic classification defined by topology and ANI			74.17	11	0.8368690608301974	
SPAdes-MaxBin2Refined-S17.101	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.52	0.04	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			72.72	11	0.6861822482071467	
SPAdes-MaxBin2Refined-S17.119_sub	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA6224;s__						GCA_002441585.1	95.0	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA6224;s__UBA6224 sp002441585	77.09	0.01	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	taxonomic classification defined by topology and ANI			57.93	11	0.891318030689808	
SPAdes-MaxBin2Refined-S17.133_sub	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic classification fully defined by topology			51.4	11	0.8580233156143054	
SPAdes-MaxBin2Refined-S17.135_sub	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__						GCA_002404095.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__UBA4732;s__UBA4732 sp002404095	75.88	0.14	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__	taxonomic classification defined by topology and ANI			43.72	11	0.8395239369309279	
SPAdes-MaxBin2Refined-S17.158	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__						GCA_000385635.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilus;s__Vermiphilus pyriformis	75.59	0.04	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic classification defined by topology and ANI			59.74	11	0.8111095466346707	
SPAdes-MetaBAT2Refined-S17.100	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			91.68	11	0.7733800711683524	
SPAdes-MetaBAT2Refined-S17.102	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.01	0.03	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			87.99	11	0.685115177212073	
SPAdes-MetaBAT2Refined-S17.103_sub	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__						GCA_009785395.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp009785395	79.86	0.35	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	taxonomic classification defined by topology and ANI		GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 78.37, 0.35; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.34, 0.25; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.17, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.39, 0.18	54.87	11	0.9411450444515936	
SPAdes-MetaBAT2Refined-S17.106	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			95.83	11	0.7841594506596343	
SPAdes-MetaBAT2Refined-S17.108	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__						GCA_011332985.1	95.0	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__Leptospirillum_A ferriphilum_B	92.55	0.73	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__	taxonomic classification defined by topology and ANI		GCF_000755505.1, s__Leptospirillum_A ferriphilum, 95.0, 77.55, 0.29; GCF_000299235.1, s__Leptospirillum_A rubarum, 95.0, 77.55, 0.3	74.47	11	0.9859043998757864	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S17.109	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__	taxonomic novelty determined using RED			98.47	11	0.7266474846668378	
SPAdes-MetaBAT2Refined-S17.10_sub	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__						GCA_002404055.1	95.0	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__UBA4733 sp002404055	77.74	0.3	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI			45.5	11	0.8937931687304642	Genome has more than 10.0% of markers with multiple hits
SPAdes-MetaBAT2Refined-S17.112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__URHD0088;s__						GCF_000518365.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__URHD0088;s__URHD0088 sp000518365	78.96	0.43	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__	taxonomic classification defined by topology and ANI			79.45	11	0.8788804323398425	
SPAdes-MetaBAT2Refined-S17.114	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__;g__;s__						GCA_002083825.1	95.0	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__UBA4093;g__UBA4093;s__UBA4093 sp002083825	76.46	0.11	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__;g__;s__	taxonomic classification defined by topology and ANI			84.3	11	0.6649456241826601	
SPAdes-MetaBAT2Refined-S17.12	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__CADDYW01;g__CADDYW01;s__						GCF_902810745.1	95.0	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__CADDYW01;g__CADDYW01;s__CADDYW01 sp902810745	76.64	0.09	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__;g__;s__	taxonomic classification defined by topology and ANI			83.72	11	0.878617607171002	Genome has more than 10.8% of markers with multiple hits
SPAdes-MetaBAT2Refined-S17.120	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__PNKC01;s__						GCA_013822275.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__PNKC01;s__PNKC01 sp013822275	76.75	0.2	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__;s__	taxonomic classification defined by topology and ANI			81.79	11	0.9227355945475018	
SPAdes-MetaBAT2Refined-S17.122_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__						GCA_003155135.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	77.66	0.28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__	taxonomic classification defined by topology and ANI			76.71	11	0.8339313639776986	
SPAdes-MetaBAT2Refined-S17.123_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	ANI		GCA_002314435.1, s__Terracidiphilus sp002314435, 95.0, 78.28, 0.3; GCA_903849645.1, s__Terracidiphilus sp903849645, 95.0, 78.06, 0.32; GCA_003170825.1, s__Terracidiphilus sp003170825, 95.0, 78.03, 0.25; GCF_008682415.1, s__Terracidiphilus sp008682415, 95.0, 77.83, 0.27; GCA_003134855.1, s__Terracidiphilus sp003134855, 95.0, 77.73, 0.25; GCA_003139795.1, s__Terracidiphilus sp003139795, 95.0, 77.72, 0.29; GCA_903842065.1, s__Terracidiphilus sp903842065, 95.0, 77.68, 0.2; GCA_003165075.1, s__Terracidiphilus sp003165075, 95.0, 77.57, 0.26; GCF_003131205.1, s__Terracidiphilus savannae, 95.0, 77.55, 0.24; GCF_000620725.1, s__Terracidiphilus sp000620725, 95.0, 77.54, 0.25; GCA_003167305.1, s__Terracidiphilus sp003167305, 95.0, 77.5, 0.25; GCA_903828675.1, s__Terracidiphilus sp903828675, 95.0, 77.47, 0.24; GCF_001449115.1, s__Terracidiphilus gabretensis, 95.0, 77.47, 0.22; GCA_003161045.1, s__Terracidiphilus sp003161045, 95.0, 77.4, 0.24; GCA_903911925.1, s__Terracidiphilus sp903911925, 95.0, 77.39, 0.23; GCA_003133425.1, s__Terracidiphilus sp003133425, 95.0, 77.38, 0.22; GCA_003151435.1, s__Terracidiphilus sp003151435, 95.0, 77.38, 0.28; GCA_002307235.1, s__Terracidiphilus sp002307235, 95.0, 77.34, 0.19; GCA_003159355.1, s__Terracidiphilus sp003159355, 95.0, 77.32, 0.2; GCA_003138515.1, s__Terracidiphilus sp003138515, 95.0, 77.27, 0.22; GCA_003138365.1, s__Terracidiphilus sp003138365, 95.0, 77.27, 0.26; GCA_003156235.1, s__Terracidiphilus sp003156235, 95.0, 77.27, 0.16; GCA_003142015.1, s__Terracidiphilus sp003142015, 95.0, 77.2, 0.22; GCA_003165935.1, s__Terracidiphilus sp003165935, 95.0, 77.18, 0.19; GCA_003142935.1, s__Terracidiphilus sp003142935, 95.0, 77.18, 0.24; GCA_003140785.1, s__Terracidiphilus sp003140785, 95.0, 77.16, 0.22; GCF_900290245.1, s__Terracidiphilus gaucii, 95.0, 77.14, 0.21; GCA_003162495.1, s__Terracidiphilus sp003162495, 95.0, 77.14, 0.21; GCA_003134815.1, s__Terracidiphilus sp003134815, 95.0, 77.11, 0.19; GCA_003166055.1, s__Terracidiphilus sp003166055, 95.0, 77.06, 0.18; GCA_003171315.1, s__Terracidiphilus sp003171315, 95.0, 77.04, 0.21; GCA_003165095.1, s__Terracidiphilus sp003165095, 95.0, 76.96, 0.2; GCA_003165005.1, s__Terracidiphilus sp003165005, 95.0, 76.87, 0.19; GCA_003151985.1, s__Terracidiphilus sp003151985, 95.0, 76.58, 0.18; GCA_003140705.1, s__Terracidiphilus sp003140705, 95.0, 76.57, 0.14; GCA_003156495.1, s__Terracidiphilus sp003156495, 95.0, 76.5, 0.12; GCA_003164635.1, s__Terracidiphilus sp003164635, 95.0, 76.36, 0.13	84.42	11	0.9098916383329588	
SPAdes-MetaBAT2Refined-S17.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED			88.98	11	0.9164925686714788	
SPAdes-MetaBAT2Refined-S17.131_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidisphaera;s__						GCF_000964365.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidisphaera;s__Acidisphaera rubrifaciens	77.97	0.35	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic classification defined by topology and ANI			88.98	11	0.8623017025127587	
SPAdes-MetaBAT2Refined-S17.137	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic classification fully defined by topology			76.04	11	0.8616814669924014	
SPAdes-MetaBAT2Refined-S17.146_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			68.91	11	0.8451686160242076	
SPAdes-MetaBAT2Refined-S17.154	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__RH2-MAG17b;s__						GCF_902812415.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__RH2-MAG17b;s__RH2-MAG17b sp902812415	76.44	0.12	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__RH2-MAG17b;s__	taxonomic classification defined by topology and ANI		GCA_002197525.1, s__RH2-MAG17b sp002197525, 95.0, 77.15, 0.16	83.68	11	0.9253693586081246	
SPAdes-MetaBAT2Refined-S17.157_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	taxonomic novelty determined using RED			65.1	11	0.9054998100517744	
SPAdes-MetaBAT2Refined-S17.160	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			95.99	11	0.7828406428981939	
SPAdes-MetaBAT2Refined-S17.161	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__UBA1018;f__UBA1018;g__;s__											d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__UBA1018;f__UBA1018;g__;s__	taxonomic classification fully defined by topology			91.13	11	0.800128929094827	
SPAdes-MetaBAT2Refined-S17.163	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__											d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	taxonomic novelty determined using RED			69.9	11	0.43231613129713575	
SPAdes-MetaBAT2Refined-S17.164_sub	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__											d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__	taxonomic novelty determined using RED			88.68	11	0.8601371389769933	
SPAdes-MetaBAT2Refined-S17.166	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			95.81	11	0.7719172798932675	
SPAdes-MetaBAT2Refined-S17.172_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__						GCA_003151425.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425	79.0	0.46	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic classification defined by topology and ANI			65.52	11	0.8834757520891793	Genome has more than 11.7% of markers with multiple hits
SPAdes-MetaBAT2Refined-S17.18	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic novelty determined using RED			91.56	11	0.6946003429175965	
SPAdes-MetaBAT2Refined-S17.182_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SCQP01;g__;s__						GCA_004299485.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SCQP01;g__SCQP01;s__SCQP01 sp004299485	76.34	0.14	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			86.3	11	0.7692420101966372	
SPAdes-MetaBAT2Refined-S17.184_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	taxonomic novelty determined using RED			89.6	11	0.8269482912608478	
SPAdes-MetaBAT2Refined-S17.186	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__											d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__;f__;g__;s__	taxonomic novelty determined using RED			91.86	11	0.7821073749488803	
SPAdes-MetaBAT2Refined-S17.189	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			64.96	11	0.7728691999034386	
SPAdes-MetaBAT2Refined-S17.190	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__						GCA_001443375.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__CSP1-4;s__CSP1-4 sp001443375	78.57	0.36	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__	taxonomic classification defined by topology and ANI			91.28	11	0.8484835364724025	
SPAdes-MetaBAT2Refined-S17.191_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic classification fully defined by topology			83.98	11	0.8754719315189241	
SPAdes-MetaBAT2Refined-S17.194	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__	taxonomic novelty determined using RED			93.29	11	0.7260891197008584	
SPAdes-MetaBAT2Refined-S17.195	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	ANI		GCA_003170825.1, s__Terracidiphilus sp003170825, 95.0, 79.37, 0.41; GCA_003167305.1, s__Terracidiphilus sp003167305, 95.0, 78.52, 0.37; GCA_003139795.1, s__Terracidiphilus sp003139795, 95.0, 78.46, 0.27; GCA_003134855.1, s__Terracidiphilus sp003134855, 95.0, 78.38, 0.32; GCA_003161045.1, s__Terracidiphilus sp003161045, 95.0, 78.31, 0.41; GCA_903849645.1, s__Terracidiphilus sp903849645, 95.0, 78.29, 0.28; GCA_003138365.1, s__Terracidiphilus sp003138365, 95.0, 78.23, 0.3; GCA_003159355.1, s__Terracidiphilus sp003159355, 95.0, 78.14, 0.31; GCA_003133425.1, s__Terracidiphilus sp003133425, 95.0, 78.09, 0.25; GCA_003151435.1, s__Terracidiphilus sp003151435, 95.0, 78.08, 0.19; GCA_903828675.1, s__Terracidiphilus sp903828675, 95.0, 78.04, 0.22; GCA_003142015.1, s__Terracidiphilus sp003142015, 95.0, 78.02, 0.33; GCA_003142935.1, s__Terracidiphilus sp003142935, 95.0, 78.0, 0.26; GCA_003171315.1, s__Terracidiphilus sp003171315, 95.0, 77.84, 0.33; GCA_003162495.1, s__Terracidiphilus sp003162495, 95.0, 77.83, 0.3; GCA_003165075.1, s__Terracidiphilus sp003165075, 95.0, 77.69, 0.21; GCA_903911925.1, s__Terracidiphilus sp903911925, 95.0, 77.63, 0.19; GCA_003165095.1, s__Terracidiphilus sp003165095, 95.0, 77.63, 0.24; GCA_003156235.1, s__Terracidiphilus sp003156235, 95.0, 77.58, 0.25; GCA_003138515.1, s__Terracidiphilus sp003138515, 95.0, 77.56, 0.24; GCA_002314435.1, s__Terracidiphilus sp002314435, 95.0, 77.5, 0.25; GCA_003134815.1, s__Terracidiphilus sp003134815, 95.0, 77.39, 0.21; GCF_000620725.1, s__Terracidiphilus sp000620725, 95.0, 77.38, 0.12; GCF_900290245.1, s__Terracidiphilus gaucii, 95.0, 77.31, 0.19; GCA_903842065.1, s__Terracidiphilus sp903842065, 95.0, 77.26, 0.18; GCA_003165005.1, s__Terracidiphilus sp003165005, 95.0, 77.22, 0.25; GCA_003151985.1, s__Terracidiphilus sp003151985, 95.0, 77.22, 0.16; GCF_008682415.1, s__Terracidiphilus sp008682415, 95.0, 77.21, 0.13; GCA_003166055.1, s__Terracidiphilus sp003166055, 95.0, 77.0, 0.17; GCA_003140705.1, s__Terracidiphilus sp003140705, 95.0, 77.0, 0.14; GCA_002307235.1, s__Terracidiphilus sp002307235, 95.0, 76.98, 0.21; GCA_003165935.1, s__Terracidiphilus sp003165935, 95.0, 76.92, 0.15; GCF_003131205.1, s__Terracidiphilus savannae, 95.0, 76.91, 0.11; GCF_001449115.1, s__Terracidiphilus gabretensis, 95.0, 76.82, 0.12; GCA_003140785.1, s__Terracidiphilus sp003140785, 95.0, 76.78, 0.12; GCA_003156495.1, s__Terracidiphilus sp003156495, 95.0, 76.52, 0.2; GCA_003164635.1, s__Terracidiphilus sp003164635, 95.0, 76.08, 0.11	60.25	11	0.9045460571157646	Genome has more than 14.2% of markers with multiple hits
SPAdes-MetaBAT2Refined-S17.197_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__						GCA_003541285.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__UBA9676 sp003541285	78.82	0.35	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	taxonomic classification defined by topology and ANI			67.76	11	0.914173643529442	
SPAdes-MetaBAT2Refined-S17.2	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__						GCA_003139545.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__Palsa-739 sp003139545	83.91	0.82	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	taxonomic classification defined by topology and ANI		GCA_003161615.1, s__Palsa-739 sp003161615, 95.0, 79.92, 0.55; GCA_005883365.1, s__Palsa-739 sp005883365, 95.0, 79.61, 0.49; GCA_003152275.1, s__Palsa-739 sp003152275, 95.0, 79.52, 0.62	76.93	11	0.9611145099139284	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S17.204_sub	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__											d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__	taxonomic classification fully defined by topology			82.01	11	0.8053243989165849	
SPAdes-MetaBAT2Refined-S17.205	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__;f__;g__;s__											d__Bacteria;p__Firmicutes_E;c__;o__;f__;g__;s__	taxonomic novelty determined using RED			72.8	11	0.5042854188543151	Genome has more than 10.0% of markers with multiple hits
SPAdes-MetaBAT2Refined-S17.206	d__Bacteria;p__Firmicutes_E;c__Thermaerobacteria;o__;f__;g__;s__											d__Bacteria;p__Firmicutes_E;c__;o__;f__;g__;s__	taxonomic novelty determined using RED			75.76	11	0.4763171170072265	
SPAdes-MetaBAT2Refined-S17.26_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			73.97	11	0.7845595139264488	
SPAdes-MetaBAT2Refined-S17.30_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__						GCA_009785715.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__WQVT01 sp009785715	77.0	0.16	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification defined by topology and ANI			80.05	11	0.8478874997342248	
SPAdes-MetaBAT2Refined-S17.31	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__JABEUX01;s__											d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__	taxonomic novelty determined using RED			82.97	11	0.9882394372224854	
